question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,45.32973623200087,1708,0.00074356,AC,0.25806632899912074,33,0,0,0,0,33
Capitais,Difícil,56.0690201339894,1767,0.00075108,WA,0.1601749760011444,2,36,0,0,0,38
Chocolate em barra,Fácil,7.405949990992667,1718,0.0007537399999999999,AC,0.02176931498979684,28,0,0,0,0,28
Fita Colorida,Médio,13.001726246002363,1706,0.0007367,AC,0.03877356799785048,31,0,0,0,0,31
Fila_2015,Difícil,60.76541275400086,2516,0.0010157,WA,15.0,0,4,12,14,0,30
Quebra-cabeça,Médio,11.343149266002001,1644,0.00072078,AC,0.3607184889988275,24,0,0,0,0,24
Prêmio do Milhão,Fácil,14.187456289000693,1611,0.0007113600000000001,AC,0.016104170004837215,20,0,0,0,0,20
Móbile_2015,Fácil,5.977456812994205,1342,0.00059986,AC,0.013519219006411731,30,0,0,0,0,30
Família real,Médio,13.798883320007008,1942,0.00082186,AC,0.006632756005274132,15,0,0,0,0,15
Mina,Médio,4.679472040996188,1874,0.0007832000000000001,AC,0.05237449500418734,40,0,0,0,0,40
Cálculo,Médio,3.702080969000235,2051,0.00088244,WA,0.021244518997264095,0,29,0,0,0,29
Cobra coral,Fácil,2.947299022998777,1582,0.00068722,AC,0.021550764999119565,25,0,0,0,0,25
Letras,Médio,2.5983407229941804,1506,0.00066126,AC,0.1729398180032149,64,0,0,0,0,64
Arquivos,Médio,2.2098801090032794,1497,0.00065442,AC,0.2514421840023715,32,0,0,0,0,32
Código,Fácil,2.0702679230016656,1481,0.0006528199999999999,WA,0.03680873899429571,22,6,0,0,0,28
