question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,3.6433384499978274,1577,0.006805,TLE,15.0,0,1,0,32,0,33
Capitais,Difícil,4.5195416689966805,1657,0.00858,AC,0.3212382640049327,38,0,0,0,0,38
Chocolate em barra,Fácil,2.6838002020085696,1558,0.0061200000000000004,AC,0.03638279500592034,28,0,0,0,0,28
Fita Colorida,Médio,3.3674374940019334,1567,0.006817500000000001,AC,0.035714458994334564,31,0,0,0,0,31
Fila_2015,Difícil,16.879393960000016,3034,0.0259225,AC,11.417109428002732,30,0,0,0,0,30
Quebra-cabeça,Médio,2.9500616589939455,1524,0.006435,AC,0.25534457800677046,24,0,0,0,0,24
Prêmio do Milhão,Fácil,2.144311166004627,1439,0.0051225,AC,0.009776024002349004,20,0,0,0,0,20
Móbile_2015,Fácil,1.7854879279911984,1249,0.004385,AC,0.06536374900315423,30,0,0,0,0,30
Família real,Médio,5.797286942994106,1812,0.009430000000000001,AC,0.007777940001687966,15,0,0,0,0,15
Mina,Médio,4.322377688004053,1702,0.0089925,AC,0.06768733299395535,40,0,0,0,0,40
Cálculo,Médio,5.1572844149923185,1994,0.009885000000000001,WA,0.03487670001049992,3,26,0,0,0,29
Cobra coral,Fácil,1.607330520011601,1326,0.0043775,WA,0.022647609002888203,17,8,0,0,0,25
Letras,Médio,3.176346610998735,1379,0.005560000000000001,AC,0.23981970798922703,64,0,0,0,0,64
Arquivos,Médio,2.6391871300002094,1378,0.005745,AC,0.10599692699906882,32,0,0,0,0,32
Código,Fácil,2.347581091002212,1373,0.005295,AC,0.01333613198949024,28,0,0,0,0,28
