question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,22.502306446011062,1797,0.006664,AC,0.4024158910033293,33,0,0,0,0,33
Capitais,Difícil,59.01547963799385,1876,0.008052,AC,0.28276642100536264,38,0,0,0,0,38
Chocolate em barra,Fácil,15.151154142004088,1733,0.005586000000000001,AC,0.021107825989020057,28,0,0,0,0,28
Fita Colorida,Médio,13.915917072998127,1855,0.0074800000000000005,AC,0.048373165001976304,31,0,0,0,0,31
Fila_2015,Difícil,84.9605816980038,2847,0.017084,AC,14.110358849997283,30,0,0,0,0,30
Quebra-cabeça,Médio,15.204069637999055,1686,0.0053620000000000004,AC,0.21827092199237086,24,0,0,0,0,24
Prêmio do Milhão,Fácil,10.357174506003503,1646,0.004862,AC,0.013237492996267974,20,0,0,0,0,20
Móbile_2015,Fácil,7.749651995007298,1421,0.004042,AC,0.02349346700066235,30,0,0,0,0,30
Família real,Médio,41.50414843400358,2075,0.00899,AC,0.007733368998742662,15,0,0,0,0,15
Mina,Médio,23.854830362994107,1931,0.008612,AC,0.06003714801045135,40,0,0,0,0,40
Cálculo,Médio,21.220157918010955,2093,0.007546,AC,0.03103479499986861,29,0,0,0,0,29
Cobra coral,Fácil,11.237117149998085,1504,0.004158,AC,0.012580794005771168,25,0,0,0,0,25
Letras,Médio,16.692253583998536,1581,0.005482,TLE,15.0,57,0,0,7,0,64
Arquivos,Médio,16.517900787002873,1562,0.005474,TLE,15.0,8,0,0,24,0,32
Código,Fácil,9.522450640011812,1589,0.005038,AC,0.02031901000009384,28,0,0,0,0,28
