question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,6.3330580909987475,2481,0.010671,AC,0.09739015699960873,30,0,0,0,0,30
Jogo da Vida,Médio,5.014038609999261,2585,0.012723000000000002,AC,0.32123016500008816,19,0,0,0,0,19
Muro,Médio,38.32755673000065,4053,0.044043,WA,0.21358126900122443,2,39,0,0,0,41
Lâmpadas do hotel,Fácil,5.920434290999765,1784,0.008844000000000001,AC,0.3302788130004046,54,0,0,0,0,54
Chinelos,Médio,2.8213240770000994,1815,0.007269,AC,0.2328890170010709,16,0,0,0,0,16
Hotel,Fácil,4.737700259998746,1650,0.005946,WA,0.0813431259994104,10,20,0,0,0,30
Jogo dos copos,Fácil,3.4687093109987472,1862,0.007746,AC,0.10312933900058852,50,0,0,0,0,50
Carnaval,Fácil,2.1714411089997157,1404,0.004788000000000001,AC,0.3774229179998656,40,0,0,0,0,40
Tiro ao Alvo,Médio,4.057053420001466,2009,0.009051,AC,1.8402613969992672,41,0,0,0,0,41
Transportes,Difícil,12.630115867999848,3708,0.021228,TLE,15.0,93,0,0,14,0,107
Álbum da copa,Fácil,2.969564253999124,1611,0.005685,AC,0.1392787060012779,25,0,0,0,0,25
Jogo de Dominós,Fácil,2.0033795709987317,1379,0.004581,AC,0.1216842670000915,42,0,0,0,0,42
Arco e flecha,Difícil,4.266440571000203,1960,0.008844000000000001,RE,0.2517468320002081,0,0,39,0,0,39
Quadrado Mágico,Fácil,5.0119135189997905,1684,0.008196,AC,0.05168673299885995,20,0,0,0,0,20
Quase primo,Médio,5.021990354000081,1704,0.008208,TLE,15.0,57,0,0,6,0,63
Lâmpadas,Fácil,2.883496508000462,1463,0.005481,AC,0.23138777400163235,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,7.85765860399988,2698,0.014466,AC,2.4085425230005058,9,0,0,0,0,9
Rodovia_2013,Difícil,6.135768639000162,2031,0.010676999999999999,AC,0.5846561979997205,78,0,0,0,0,78
Coleção de Upas,Médio,6.9598024929982785,1986,0.010602,RE,0.638006506000238,0,0,42,0,0,42
Cinema,Fácil,3.7826746569990064,1287,0.005013,AC,0.10024045499994827,20,0,0,0,0,20
Fila,Médio,4.836232397999993,1635,0.006441,AC,0.4928436640002474,44,0,0,0,0,44
Montanha,Fácil,3.964758262000032,1587,0.005997000000000001,AC,0.08280181299960532,33,0,0,0,0,33
Chuva,Médio,5.219491765999919,1855,0.009465000000000001,AC,0.9645356380005978,40,0,0,0,0,40
Festa olímpica,Difícil,17.34286082700055,2778,0.019926,AC,10.121423554999637,34,0,0,0,0,34
"Pô, que mão",Fácil,2.959695827001269,1568,0.005916,AC,0.15805608700065932,120,0,0,0,0,120
Relógio,Médio,2.8677285249996203,1756,0.006876,AC,0.1660607190005976,52,0,0,0,0,52
Torre,Médio,3.5340533460002916,1676,0.007404000000000001,WA,3.1882016449999355,0,33,0,0,0,33
Mesa redonda,Fácil,2.3960480939986155,1659,0.0060209999999999994,AC,0.21512261600037164,65,0,0,0,0,65
Sorvete,Médio,4.2141089030010335,2104,0.009564,AC,0.3156184919989755,10,0,0,0,0,10
Expressões,Fácil,3.2728273209995677,1785,0.007515,AC,1.4629598550000082,51,0,0,0,0,51
Mancha,Médio,17.915851475001546,3118,0.024438,RE,0.2577737139999954,0,0,30,0,0,30
Direção,Fácil,2.462566219999644,1341,0.005247,AC,0.05641236600058619,24,0,0,0,0,24
Nova avenida,Médio,9.251295973999731,2141,0.013419,AC,0.16076489800070703,12,0,0,0,0,12
Telescópio,Fácil,2.37707652500103,1940,0.006816000000000001,AC,0.13770254399969417,33,0,0,0,0,33
Game Show,Fácil,2.4451817340013804,1979,0.006921,AC,0.09267177599940624,25,0,0,0,0,25
Manchas de pele,Difícil,3.8186807069996576,1884,0.00972,AC,1.850251443000161,61,0,0,0,0,61
Temperatura Lunar,Médio,5.167389286998514,2193,0.010995,AC,0.11208994899971003,10,0,0,0,0,10
Castelos da Nlogônia,Difícil,4.869618990998788,2158,0.011262000000000001,AC,0.1355805480015988,36,0,0,0,0,36
Matriz Escada,Médio,6.28706474899991,1770,0.008418,AC,0.294734946999597,59,0,0,0,0,59
Pedágio_2002,Médio,5.9854840870011685,2226,0.011394000000000001,WA,0.09717415199884272,0,10,0,0,0,10
Fusões,Médio,5.492491933000565,2091,0.010449,AC,0.7721003760016174,29,0,0,0,0,29
Capitais,Difícil,27.259723131999635,3133,0.029847,AC,1.036283576999267,38,0,0,0,0,38
Falta uma,Fácil,4.089265222999529,1517,0.006975,AC,0.4287573439996777,28,0,0,0,0,28
Sanduíche,Médio,4.720663660000355,1892,0.009108000000000002,AC,0.34603778299970145,23,0,0,0,0,23
Blefe,Médio,7.859494293999887,2101,0.012747,TLE,15.0,26,0,0,24,0,50
Tabela do campeonato,Médio,8.463838495001255,2196,0.012816000000000001,RE,0.9831479139993462,0,0,124,0,0,124
Clube dos Cinco,Difícil,4.437052314000539,1842,0.007698,AC,0.1328383460004261,81,0,0,0,0,81
Piso da escola,Fácil,12.642173346001073,2264,0.015672000000000002,AC,0.05053165800018178,30,0,0,0,0,30
Caravana,Fácil,3.5450161450007727,1553,0.005463,AC,0.03106516399930115,8,0,0,0,0,8
Ônibus,Médio,4.307398430999456,1711,0.007989,AC,0.08156099799998628,19,0,0,0,0,19
Chocolate_2012,Fácil,4.725414777998594,1337,0.004587,AC,0.06756474400026491,50,0,0,0,0,50
Chocolate em barra,Fácil,5.227751201000501,1726,0.007398,AC,0.061087435999070294,28,0,0,0,0,28
Altas Aventuras,Difícil,14.883743299000344,2322,0.016326,AC,0.06354836200080172,53,0,0,0,0,53
Jogo dos Pinos,Fácil,3.769226529999287,1805,0.008331,AC,0.03355567099970358,16,0,0,0,0,16
Fechadura,Fácil,13.838410405000104,2442,0.018654,AC,0.209254751998742,50,0,0,0,0,50
Sr. Toupeira,Médio,3.8108416790000774,2323,0.010077000000000001,AC,2.8270850680000876,26,0,0,0,0,26
Sr. Sapo,Médio,5.913729623998734,2187,0.011961,AC,0.2947924870004499,29,0,0,0,0,29
Fita Colorida,Médio,3.9267094819988415,1691,0.007821,AC,0.19500124400110508,31,0,0,0,0,31
Ponto do meio,Médio,2.9893296899990673,1529,0.005019,AC,0.1684724280003138,31,0,0,0,0,31
Ogro_2024,Fácil,3.1462184689989954,1540,0.005376,AC,0.076715597000657,20,0,0,0,0,20
Pirâmide_2022,Médio,5.72044558000016,1657,0.0060750000000000005,WA,0.23061945200061018,1,38,0,0,0,39
Game-10,Fácil,2.519885040999725,1624,0.005712,AC,0.2990993540006457,46,0,0,0,0,46
Restaurante de pizza,Fácil,3.6852557820002403,1740,0.007476,AC,0.23078208199876826,60,0,0,0,0,60
Zip,Fácil,2.909548110999822,1695,0.007029,AC,0.2171455400002742,40,0,0,0,0,40
