question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,1.4999579589930363,1499,0.00031395,WA,0.7665886220056564,0,33,0,0,0,33
Capitais,Difícil,3.5044855670130346,1575,0.00039015,WA,0.3644507639983203,1,37,0,0,0,38
Chocolate em barra,Fácil,1.391536555980565,1539,0.00032445,WA,0.06811772999935783,13,15,0,0,0,28
Fita Colorida,Médio,1.4750714039837476,1442,0.00029325,AC,0.09973343199817464,31,0,0,0,0,31
Fila_2015,Difícil,8.988323894998757,3119,0.00118695,TLE,15.0,15,0,0,15,0,30
Quebra-cabeça,Médio,1.2929583119985182,1431,0.00028485,AC,0.5116320000088308,24,0,0,0,0,24
Prêmio do Milhão,Fácil,1.0064424199808855,1393,0.00025575,AC,0.05140098900301382,20,0,0,0,0,20
Móbile_2015,Fácil,0.9825833610084374,1181,0.00021899999999999998,AC,0.03818498499458656,30,0,0,0,0,30
Família real,Médio,2.1994922340090852,1757,0.00042869999999999996,WA,0.26292761298827827,0,15,0,0,0,15
Mina,Médio,1.731372009991901,1568,0.00037335,AC,0.07174739299807698,40,0,0,0,0,40
Cálculo,Médio,1.814333625981817,1836,0.00039645,WA,0.04998704500030726,7,22,0,0,0,29
Cobra coral,Fácil,0.9468811269907746,1253,0.0002199,WA,0.051504667004337534,9,16,0,0,0,25
Letras,Médio,1.3557607019902207,1338,0.0002871,WA,1.1596116040018387,5,59,0,0,0,64
Arquivos,Médio,1.0351920459943358,1268,0.00024825,AC,0.23555773400585167,32,0,0,0,0,32
Código,Fácil,0.9011193670157809,1289,0.0002406,AC,0.073884231998818,28,0,0,0,0,28
