question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,21.420508215000154,2358,0.0076159999999999,AC,0.0638026289998379,30,0,0,0,0,30
Jogo da Vida,Médio,20.621439711,2890,0.0088799999999999,AC,0.3933511500000008,19,0,0,0,0,19
Muro,Médio,23.716339282999968,1420,0.00437,AC,0.0627898939999909,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,20.58792177700002,1393,0.0035659999999999,AC,0.0583632529999817,54,0,0,0,0,54
Chinelos,Médio,18.57522490700001,1585,0.00475,AC,0.0271874960000104,16,0,0,0,0,16
Hotel,Fácil,23.10981545200002,1496,0.003932,AC,0.0438511500000231,30,0,0,0,0,30
Jogo dos copos,Fácil,12.025478158,1650,0.0052,AC,0.0728836540000088,50,0,0,0,0,50
Carnaval,Fácil,14.075102195,1278,0.0032259999999999,AC,0.0871070910000071,40,0,0,0,0,40
Tiro ao Alvo,Médio,20.994111447000023,1703,0.005436,AC,0.4156137770000896,41,0,0,0,0,41
Transportes,Difícil,75.13030972000001,3083,0.012696,AC,4.004245573999924,107,0,0,0,0,107
Álbum da copa,Fácil,11.192433611999832,1422,0.003764,AC,0.0459494060000906,25,0,0,0,0,25
Jogo de Dominós,Fácil,7.226878143000022,1238,0.003006,AC,0.0533832979999715,42,0,0,0,0,42
Arco e flecha,Difícil,75.19264451599997,2019,0.009258,AC,3.962099643999864,39,0,0,0,0,39
Quadrado Mágico,Fácil,23.57209238599989,1499,0.005398,AC,0.0448037890000705,20,0,0,0,0,20
Quase primo,Médio,57.788998655000114,1545,0.00565,AC,0.0674608280000939,63,0,0,0,0,63
Lâmpadas,Fácil,14.773783496000078,1282,0.003294,AC,0.1131126650000169,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,30.951347708999947,2220,0.0079,AC,0.0325228219999189,9,0,0,0,0,9
Rodovia_2013,Difícil,42.46461383099995,1791,0.006852,AC,0.1378609179998875,78,0,0,0,0,78
Coleção de Upas,Médio,26.91995700500001,1659,0.005638,AC,0.6150331460000871,42,0,0,0,0,42
Cinema,Fácil,7.856442384999809,1225,0.0038399999999999,AC,0.0349217089999456,20,0,0,0,0,20
Fila,Médio,10.1428380750001,1466,0.004062,AC,0.2496290940000562,44,0,0,0,0,44
Montanha,Fácil,10.74797791800006,1417,0.003974,AC,0.0614750449999519,33,0,0,0,0,33
Chuva,Médio,71.40490234000004,1638,0.006256,AC,0.3364917849999074,40,0,0,0,0,40
Festa olímpica,Difícil,52.968016030999934,1866,0.005922,AC,1.323126456000182,34,0,0,0,0,34
"Pô, que mão",Fácil,630.3472989859999,1421,0.003982,AC,0.0702815069998905,120,0,0,0,0,120
Relógio,Médio,17.86467017000041,1604,0.004878,AC,0.0792930319998959,52,0,0,0,0,52
Torre,Médio,25.087211146999834,1563,0.005556,AC,0.7459143700002642,33,0,0,0,0,33
Mesa redonda,Fácil,19.073240511000225,1496,0.004052,AC,0.0618215859999509,65,0,0,0,0,65
Sorvete,Médio,20.274497168999915,1923,0.006926,AC,0.1803850290002628,10,0,0,0,0,10
Expressões,Fácil,51.110045224999794,1561,0.004762,AC,0.5754827770001611,51,0,0,0,0,51
Mancha,Médio,101.714461346,1989,0.0072979999999999,AC,0.1725412149999101,30,0,0,0,0,30
Direção,Fácil,12.472664258999885,1240,0.00364,AC,0.0508602119998613,24,0,0,0,0,24
Nova avenida,Médio,15.446275700000117,1537,0.004364,AC,0.1292710440002338,12,0,0,0,0,12
Telescópio,Fácil,14.487144624999928,1802,0.004614,AC,0.0671274369997263,33,0,0,0,0,33
Game Show,Fácil,8.021346803000142,1715,0.00438,AC,0.0402392109999709,25,0,0,0,0,25
Manchas de pele,Difícil,33.795413096000175,1742,0.007004,AC,0.5752263660001518,61,0,0,0,0,61
Temperatura Lunar,Médio,1230.118764659,1975,0.00746,AC,0.0691448830002627,10,0,0,0,0,10
Castelos da Nlogônia,Difícil,1222.1276485750004,1865,0.00681,AC,0.0565797279996331,36,0,0,0,0,36
Matriz Escada,Médio,29.428455721999853,1591,0.005402,AC,0.2173906550005995,59,0,0,0,0,59
Pedágio_2002,Médio,27.95826522599964,2032,0.008414,WA,0.0767178309997689,0,10,0,0,0,10
Fusões,Médio,24.72494327000004,1958,0.007986,AC,0.2622048909997829,29,0,0,0,0,29
Capitais,Difícil,60.57247014800032,1654,0.007088,AC,0.3690252010001131,38,0,0,0,0,38
Falta uma,Fácil,26.08397752600013,1342,0.004454,AC,0.2385422639999888,28,0,0,0,0,28
Sanduíche,Médio,54.28878797499965,1766,0.006912,AC,0.0499139510002351,23,0,0,0,0,23
Blefe,Médio,39.77615126399997,1657,0.0058239999999999,AC,1.5441710679997414,50,0,0,0,0,50
Tabela do campeonato,Médio,24.49819044099968,1801,0.006632,AC,0.097729017000347,124,0,0,0,0,124
Clube dos Cinco,Difícil,52.988997993999874,1628,0.0047259999999999,AC,0.0718451570000979,81,0,0,0,0,81
Piso da escola,Fácil,10.302175427000291,1451,0.0039419999999999,AC,0.0556840400004148,30,0,0,0,0,30
Caravana,Fácil,13.324051312000847,1431,0.003672,AC,0.0261712270003044,8,0,0,0,0,8
Ônibus,Médio,12.968166690000544,1544,0.005568,AC,0.0685527440000441,19,0,0,0,0,19
Chocolate_2012,Fácil,23.88681229699978,1228,0.003156,AC,0.0709736010003325,50,0,0,0,0,50
Chocolate em barra,Fácil,13.564514164000684,1514,0.004658,AC,0.0520552529997075,28,0,0,0,0,28
