question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,7.66761756897904,2868,0.0022818,AC,0.1863945990044158,33,0,0,0,0,33
Capitais,Difícil,32.87809623000794,6736,0.008154,WA,0.1949384959880262,28,10,0,0,0,38
Chocolate em barra,Fácil,4.214474833017448,2457,0.0016159,AC,0.0344956560002174,28,0,0,0,0,28
Fita Colorida,Médio,7.751295371010201,2885,0.0023203,WA,0.0615506629983428,20,11,0,0,0,31
Fila_2015,Difícil,45.31774006300839,8559,0.0105336,WA,6.857417495979462,0,30,0,0,0,30
Quebra-cabeça,Médio,9.317978994979056,3026,0.0025617,AC,0.0820925360021647,24,0,0,0,0,24
Prêmio do Milhão,Fácil,4.676618952013087,2245,0.0013901999999999,AC,0.0187207899871282,20,0,0,0,0,20
Móbile_2015,Fácil,2.5839275199978147,1757,0.000874,AC,0.0135201269877143,30,0,0,0,0,30
Família real,Médio,15.14888545300346,3844,0.0036496,AC,0.013376226008404,15,0,0,0,0,15
Mina,Médio,7.085554446995957,3103,0.0026642,TLE,15.0,8,0,0,32,0,40
Cálculo,Médio,20.284606029017596,5180,0.0054157,WA,0.043512852978892624,26,3,0,0,0,29
Cobra coral,Fácil,27.725258306978503,5456,0.006299000000000001,AC,0.019705218001035973,25,0,0,0,0,25
Letras,Médio,12.003013673005626,3285,0.0030893,AC,0.3609245879924856,64,0,0,0,0,64
Arquivos,Médio,6.906733714975417,2762,0.0023204000000000002,AC,0.10273063500062563,32,0,0,0,0,32
Código,Fácil,3.0956289599998854,2030,0.0011873,AC,0.016403602989157662,28,0,0,0,0,28
