question_name,llm_code_creation_time,info,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Relógio,2.7548641730099916,database/obi_2024/nível 2/fase 1/,TLE,15.0,20,0,0,32,0,52
Concurso,2.990532452997286,database/obi_2024/nível 2/fase 1/,AC,0.013054987997747958,20,0,0,0,0,20
Jogo da vida,5.102737385983346,database/obi_2024/nível 2/fase 1/,AC,0.054133024998009205,19,0,0,0,0,19
Ogro,1.6643607419973705,database/obi_2024/nível 2/fase 1/,AC,0.008515633991919458,20,0,0,0,0,20
Construtora,2.8901430910045747,database/obi_2024/nível 2/fase 3/,WA,0.03749877799418755,7,31,0,0,0,38
Retas,8.316000121994875,database/obi_2024/nível 2/fase 3/,WA,0.7627943900006358,1,42,0,0,0,43
Burocracia,19.672872511000605,database/obi_2024/nível 2/fase 3/,WA,2.606389800988836,2,51,0,0,0,53
Brigadeiros,8.098712828999851,database/obi_2024/nível 2/fase 3/,WA,0.09672767299343832,42,25,0,0,0,67
Jogo de Pratos,12.60444086199277,database/obi_2024/nível 2/fase 3/,WA,0.5802392660116311,15,58,0,0,0,73
Jogo do Poder,23.396969995985273,database/obi_2024/nível 2/fase 2/,TLE,15.0,0,0,0,150,0,150
Alfabeto Alienígena,2.5802509000059217,database/obi_2024/nível 2/fase 2/,AC,0.045097186986822635,61,0,0,0,0,61
Concatena Dígitos,3.09891753498232,database/obi_2024/nível 2/fase 2/,AC,0.07000056098331697,25,0,0,0,0,25
Cubo Preto,2.4266060189984273,database/obi_2024/nível 2/fase 2/,AC,0.0048305990057997406,11,0,0,0,0,11
