question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,5.361102686001686,818,0.004045,AC,0.9278965060075279,33,0,0,0,0,33
Capitais,Difícil,4.365876185998786,870,0.0054,AC,0.5543149709992576,38,0,0,0,0,38
Chocolate em barra,Fácil,1.9464647639979376,786,0.0031650000000000003,AC,0.13914064200071152,28,0,0,0,0,28
Fita Colorida,Médio,3.0080258310044883,790,0.0037875,AC,0.07646630398812704,31,0,0,0,0,31
Fila_2015,Difícil,8.906653428988648,1652,0.0138175,TLE,15.0,6,0,0,24,0,30
Quebra-cabeça,Médio,2.616300615001819,730,0.00315,AC,0.6183379770081956,24,0,0,0,0,24
Prêmio do Milhão,Fácil,2.1328297199943336,689,0.0024975,AC,0.0908094189944677,20,0,0,0,0,20
Móbile_2015,Fácil,1.8970932439988246,512,0.001955,AC,0.1023950130038429,30,0,0,0,0,30
Família real,Médio,3.466852062003454,971,0.00544,WA,0.09749488499073777,2,13,0,0,0,15
Mina,Médio,3.5052751710027223,885,0.0053625,AC,0.1954555169941159,40,0,0,0,0,40
Cálculo,Médio,3.681522061000578,1105,0.005175000000000001,WA,0.07560348400147632,3,26,0,0,0,29
Cobra coral,Fácil,1.9371731450082734,586,0.0019025000000000001,WA,0.0649774379999144,17,8,0,0,0,25
Letras,Médio,2.1250612159929005,602,0.00253,AC,3.7839856460050214,64,0,0,0,0,64
Arquivos,Médio,2.145501177001279,658,0.0035700000000000003,AC,0.5940771180030424,32,0,0,0,0,32
Código,Fácil,1.643468890004442,618,0.002595,AC,0.06623242200294044,28,0,0,0,0,28
