question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,1.7258888270007446,978,0.00026145,WA,0.8470501919800881,0,33,0,0,0,33
Capitais,Difícil,603.3916340910073,1097,0.00036344999999999997,CE,0.0,0,0,0,0,38,38
Chocolate em barra,Fácil,1.4246120789903216,943,0.00022695,AC,0.013337178999790922,28,0,0,0,0,28
Fita Colorida,Médio,2.1263329740031622,1072,0.00033135,AC,0.012796833005268127,31,0,0,0,0,31
Fila_2015,Difícil,3.2179497400065884,1551,0.00050625,TLE,15.0,4,0,0,26,0,30
Quebra-cabeça,Médio,1.7094127550080884,876,0.00021194999999999997,AC,0.2077081290190108,24,0,0,0,0,24
Prêmio do Milhão,Fácil,1.1284888449881691,820,0.00017204999999999998,AC,0.00845977701828815,20,0,0,0,0,20
Móbile_2015,Fácil,0.90142385699437,600,0.0001305,AC,0.01952588898711838,30,0,0,0,0,30
Família real,Médio,2.2073101819842122,1194,0.00035099999999999997,AC,0.010989553993567824,15,0,0,0,0,15
Mina,Médio,2.1451533589861356,1037,0.00031485,AC,0.1092906080011744,40,0,0,0,0,40
Cálculo,Médio,1.6145773160096724,1247,0.00030314999999999997,WA,0.011512639990542084,0,29,0,0,0,29
Cobra coral,Fácil,1.4010634290170856,800,0.0002082,WA,0.00945781500195153,9,16,0,0,0,25
Letras,Médio,1.2722039169748314,713,0.0001722,WA,0.11033178798970766,6,58,0,0,0,64
Arquivos,Médio,1.3257844860199839,735,0.00018855,AC,0.10312521399464458,32,0,0,0,0,32
Código,Fácil,1.621085418999428,744,0.0001737,AC,0.016971842997008935,28,0,0,0,0,28
