question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,9.649359427014133,2253,0.0022641000000000002,TLE,15.0,1,0,0,32,0,33
Capitais,Difícil,36.77208293299191,5694,0.0074958,WA,15.0,1,36,0,1,0,38
Chocolate em barra,Fácil,5.957180690980749,1899,0.0016837,AC,0.025380851002410054,28,0,0,0,0,28
Fita Colorida,Médio,9.822114224021789,2620,0.0028276000000000004,AC,0.018053050007438287,31,0,0,0,0,31
Fila_2015,Difícil,37.53501427601441,7828,0.0103419,WA,15.0,0,25,0,5,0,30
Quebra-cabeça,Médio,7.5656432950054295,1979,0.0018960000000000001,AC,0.24479842599248514,24,0,0,0,0,24
Prêmio do Milhão,Fácil,4.562378998001805,1340,0.0009375,AC,0.006042827008059248,20,0,0,0,0,20
Móbile_2015,Fácil,4.055390204011928,1231,0.0009898,AC,0.01965462599764578,30,0,0,0,0,30
Família real,Médio,7.177035678992979,2562,0.0026314000000000003,AC,0.012244582001585513,15,0,0,0,0,15
Mina,Médio,11.635216844995739,2535,0.0027170000000000002,AC,0.10660596800153144,40,0,0,0,0,40
Cálculo,Médio,15.549622743972577,3522,0.0038335,AC,0.015049426991026849,29,0,0,0,0,29
Cobra coral,Fácil,27.218019822001224,4233,0.0053693000000000005,AC,0.017589470022358,25,0,0,0,0,25
Letras,Médio,9.329886398016242,2329,0.0025601,AC,0.1729657319956459,64,0,0,0,0,64
Arquivos,Médio,6.927156778023345,2153,0.0023117000000000003,AC,0.2117715920030605,32,0,0,0,0,32
Código,Fácil,9.358699144009734,1862,0.0018401000000000001,AC,0.020877100992947817,28,0,0,0,0,28
