question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,462.8460231740028,67017,0.0,NO CODE,0.0,0,0,0,0,0,33
Capitais,Difícil,210.64270098500128,25753,0.0,AC,0.6706858899997314,38,0,0,0,0,38
Chocolate em barra,Fácil,15.479755460997694,3350,0.0,AC,0.016121534994454123,28,0,0,0,0,28
Fita Colorida,Médio,26.233949232002487,4948,0.0,AC,0.017218505003256723,31,0,0,0,0,31
Fila_2015,Difícil,193.053926898996,24327,0.0,AC,5.13387220299046,30,0,0,0,0,30
Quebra-cabeça,Médio,33.89703433300019,5011,0.0,AC,0.11195735099317972,24,0,0,0,0,24
Prêmio do Milhão,Fácil,6.168674683998688,2028,0.0,AC,0.02193939000426326,20,0,0,0,0,20
Móbile_2015,Fácil,34.364260478003416,4893,0.0,AC,0.03419403899169993,30,0,0,0,0,30
Família real,Médio,94.80634742000257,12812,0.0,AC,0.010542953998083249,15,0,0,0,0,15
Mina,Médio,31.605291783998837,4926,0.0,AC,0.10349544699420221,40,0,0,0,0,40
Cálculo,Médio,63.37960332300281,9467,0.0,AC,0.010428224995848723,29,0,0,0,0,29
Cobra coral,Fácil,177.65191071400477,21408,0.0,AC,0.009800649990211241,25,0,0,0,0,25
Letras,Médio,25.781509717999143,4639,0.0,AC,0.15542748601001222,64,0,0,0,0,64
Arquivos,Médio,20.046460233992548,3862,0.0,AC,0.11516124199260958,32,0,0,0,0,32
Código,Fácil,10.087423207995016,2443,0.0,AC,0.018223157996544614,28,0,0,0,0,28
