question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,4.3265903720021015,873,0.00487,WA,0.1858424579986604,0,33,0,0,0,33
Capitais,Difícil,5.418759293999756,984,0.00711,WA,0.1978472160117235,14,24,0,0,0,38
Chocolate em barra,Fácil,2.987516348992358,871,0.00444,AC,0.02233906800393015,28,0,0,0,0,28
Fita Colorida,Médio,3.1879818229936063,891,0.0053025,AC,0.013010377995669842,31,0,0,0,0,31
Fila_2015,Difícil,10.301898418998462,1706,0.0146275,AC,5.37490334600443,30,0,0,0,0,30
Quebra-cabeça,Médio,3.9040028159943176,815,0.004425,AC,0.15507972698833328,24,0,0,0,0,24
Prêmio do Milhão,Fácil,4.566544729997986,740,0.0032625,AC,0.01640222201240249,20,0,0,0,0,20
Móbile_2015,Fácil,2.158330960999592,551,0.00254,AC,0.01329073600936681,30,0,0,0,0,30
Família real,Médio,3.799269687006017,1049,0.00661,AC,0.005999431989039294,15,0,0,0,0,15
Mina,Médio,5.218677673008642,997,0.0070425,AC,0.027798229988547973,40,0,0,0,0,40
Cálculo,Médio,4.305982343998039,1255,0.007425000000000001,WA,0.0212550190044567,0,29,0,0,0,29
Cobra coral,Fácil,8.47223285101063,1060,0.0090125,WA,0.012168639004812576,0,25,0,0,0,25
Letras,Médio,2.4483964779938105,679,0.003685,AC,0.09285050400649197,64,0,0,0,0,64
Arquivos,Médio,2.569601013994543,685,0.003975,AC,0.0957308219949482,32,0,0,0,0,32
Código,Fácil,2.304883857999812,675,0.00345,AC,0.01752576799481176,28,0,0,0,0,28
