question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,3.9945501099991816,2166,0.00839,AC,0.0506807940000726,30,0,0,0,0,30
Jogo da Vida,Médio,4.515478259001611,2187,0.0100675,AC,0.1744888090015592,19,0,0,0,0,19
Muro,Médio,2.8593758290007827,1269,0.00526,AC,0.0739962730003753,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,1.894072392999078,1247,0.0039425,WA,0.0628332369997224,26,28,0,0,0,54
Chinelos,Médio,3.225880050998967,1427,0.005305,AC,0.0383061730008194,16,0,0,0,0,16
Hotel,Fácil,1.3907171070004551,1293,0.00412,AC,0.0554777990000729,30,0,0,0,0,30
Jogo dos copos,Fácil,2.295113890000721,1472,0.0055425,AC,0.0595332339999004,50,0,0,0,0,50
Carnaval,Fácil,1.1904066219995002,1106,0.0032525,AC,0.0651412540009914,40,0,0,0,0,40
Tiro ao Alvo,Médio,2.096857087999524,1506,0.00564,AC,0.5185959379996348,41,0,0,0,0,41
Transportes,Difícil,7.175844990000769,2877,0.01493,WA,15.219609474999745,13,73,0,21,0,107
Álbum da copa,Fácil,2.334270015999209,1266,0.00399,AC,0.0762965379999514,25,0,0,0,0,25
Jogo de Dominós,Fácil,1.081864163001228,1103,0.003345,AC,0.1060329020001518,42,0,0,0,0,42
Arco e flecha,Difícil,4.176111516000674,1609,0.0072725,WA,1.360855177999838,11,28,0,0,0,39
Quadrado Mágico,Fácil,2.698469101000228,1330,0.0059125,AC,0.0449524239993479,20,0,0,0,0,20
Quase primo,Médio,2.7381619480001973,1289,0.00501,AC,0.2850541930001782,63,0,0,0,0,63
Lâmpadas,Fácil,1.458158035999077,1169,0.00401,AC,0.3150988519992097,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,3.086599107999064,1946,0.0077775,AC,0.0435022249985195,9,0,0,0,0,9
Rodovia_2013,Difícil,3.088403700001436,1509,0.0063225,AC,0.1949094530009461,78,0,0,0,0,78
Coleção de Upas,Médio,3.004334139999628,1498,0.006595,WA,0.8183241040005669,0,42,0,0,0,42
Cinema,Fácil,2.0241688059995795,1003,0.00337,AC,0.0397931810002774,20,0,0,0,0,20
Fila,Médio,1.6561115110016544,1298,0.004545,AC,0.3024618859999464,44,0,0,0,0,44
Montanha,Fácil,1.5144210340004065,1259,0.0042475,AC,0.06487349300005,33,0,0,0,0,33
Chuva,Médio,2.5757028049993096,1360,0.0055125,AC,0.4983475710014318,40,0,0,0,0,40
Festa olímpica,Difícil,3.380421865000244,1681,0.00709,AC,7.016845037000167,34,0,0,0,0,34
"Pô, que mão",Fácil,2.3516578569997364,1207,0.004055,AC,0.0828783369997836,120,0,0,0,0,120
Relógio,Médio,1.7198648089997732,1371,0.00484,AC,0.081436518999908,52,0,0,0,0,52
Torre,Médio,2.6196838849991764,1377,0.00583,WA,1.1742355820006196,0,33,0,0,0,33
Mesa redonda,Fácil,1.4492030809997232,1338,0.0043075,AC,0.0833031439997284,65,0,0,0,0,65
Sorvete,Médio,2.607387029000165,1666,0.006965,AC,0.2009692540013929,10,0,0,0,0,10
Expressões,Fácil,2.1413647809986287,1413,0.00547,AC,0.6311242730007507,51,0,0,0,0,51
Mancha,Médio,3.2613338800001657,1730,0.0075125,AC,0.5565669919997163,30,0,0,0,0,30
Direção,Fácil,3.0897615309986577,1070,0.00375,AC,0.0368998409994674,24,0,0,0,0,24
Nova avenida,Médio,2.144147471000906,1388,0.00537,WA,0.1178426290007337,1,11,0,0,0,12
Telescópio,Fácil,1.8857288159997552,1552,0.0048925,AC,0.0831137530003616,33,0,0,0,0,33
Game Show,Fácil,1.57687820999854,1544,0.004785,AC,0.0509415699998498,25,0,0,0,0,25
Manchas de pele,Difícil,4.028827076001107,1585,0.0081374999999999,AC,1.4767263260000618,61,0,0,0,0,61
Temperatura Lunar,Médio,2.965911880000931,1675,0.00685,WA,0.0658083159996749,2,8,0,0,0,10
Castelos da Nlogônia,Difícil,4.198527112001102,1792,0.00918,AC,0.045501090999096,36,0,0,0,0,36
Matriz Escada,Médio,2.0506804779997765,1374,0.0053475,AC,0.2269794579988229,59,0,0,0,0,59
Pedágio_2002,Médio,7.764272968001023,1789,0.0085975,WA,0.1768514989998948,0,10,0,0,0,10
Fusões,Médio,2.7004716499995998,1630,0.0071,AC,0.2884481999990385,29,0,0,0,0,29
Capitais,Difícil,3.154306514001292,1421,0.007065,AC,0.4951744749996578,38,0,0,0,0,38
Falta uma,Fácil,4.504708208000011,1253,0.0058325,WA,0.2398982630002137,11,17,0,0,0,28
Sanduíche,Médio,6.955309341999964,1871,0.0121275,WA,0.0505110319991217,0,23,0,0,0,23
Blefe,Médio,2.2688723570008733,1394,0.0052475,AC,2.0204017010000825,50,0,0,0,0,50
Tabela do campeonato,Médio,3.033317919000183,1561,0.00699,WA,0.0733472089996212,87,37,0,0,0,124
Clube dos Cinco,Difícil,1.5280405579997025,1396,0.0045275,AC,0.0792658190002839,81,0,0,0,0,81
Piso da escola,Fácil,1.4261317370001052,1284,0.004285,AC,0.0587547260001883,30,0,0,0,0,30
Caravana,Fácil,1.408223762000489,1260,0.0040625,AC,0.0257240820010338,8,0,0,0,0,8
Ônibus,Médio,2.46102933200018,1340,0.0057374999999999,AC,0.0704478500010736,19,0,0,0,0,19
Chocolate_2012,Fácil,1.2431395889998385,1074,0.003385,AC,0.0823557620005885,50,0,0,0,0,50
Chocolate em barra,Fácil,1.6992813060005574,1318,0.004545,AC,0.0627370910005993,28,0,0,0,0,28
Altas Aventuras,Difícil,2.779827586000465,1357,0.00523,AC,0.1488509080008953,53,0,0,0,0,53
Jogo dos Pinos,Fácil,2.216319609000493,1406,0.005765,AC,0.028404861999661,16,0,0,0,0,16
Fechadura,Fácil,1.6390797249987372,1280,0.004475,WA,0.0742297239994513,0,50,0,0,0,50
Sr. Toupeira,Médio,2.288589158000832,1823,0.007045,AC,0.5351744669987966,26,0,0,0,0,26
Sr. Sapo,Médio,3.4311092629995983,1631,0.0075025,AC,0.126366421000057,29,0,0,0,0,29
Fita Colorida,Médio,3.0134906629991747,1358,0.0057075,AC,0.0513851390005584,31,0,0,0,0,31
Ponto do meio,Médio,1.3549196169988136,1195,0.0035875,AC,0.051903912999478,31,0,0,0,0,31
Ogro_2024,Fácil,1.344471157000953,1199,0.0037225,AC,0.043689918000382,20,0,0,0,0,20
Pirâmide_2022,Médio,1.671817775000818,1356,0.004615,WA,0.0777725799998734,1,38,0,0,0,39
Game-10,Fácil,1.048326612000892,1289,0.00386,AC,0.0861862550009391,46,0,0,0,0,46
Restaurante de pizza,Fácil,1.8719828539997247,1292,0.0041925,AC,0.0705867440010479,60,0,0,0,0,60
Zip,Fácil,1.7777328020001733,1316,0.00489,AC,0.0668274300005578,40,0,0,0,0,40
Consecutivos,Fácil,1.6783485609994386,1203,0.00442,AC,0.128148281999529,50,0,0,0,0,50
Dança de Formatura,Médio,2.8421565480002755,2079,0.00786,AC,2.6002554040005634,55,0,0,0,0,55
Estrada,Médio,2.344093903000612,1327,0.0054925,AC,0.1285307010002725,30,0,0,0,0,30
Duplas de tênis,Fácil,1.6934387709989096,1111,0.00374,AC,0.0730150419985875,40,0,0,0,0,40
Show,Médio,2.1909150109986517,1460,0.0055625,WA,0.0469261039997945,19,6,0,0,0,25
Loteria,Fácil,1.8563202719997207,1263,0.0044575,AC,0.0554616829995211,39,0,0,0,0,39
Cubo Preto,Fácil,1.8481667939995527,1255,0.00435,AC,0.0235543939998024,11,0,0,0,0,11
Robô,Fácil,1.895975158999136,1551,0.005415,AC,0.0641916839995246,50,0,0,0,0,50
Etiquetas,Difícil,4.048373855999671,1390,0.00735,WA,15.0,1,58,0,2,0,61
Campeonato,Fácil,1.9690412879990615,1276,0.004465,AC,0.0621114900004613,50,0,0,0,0,50
Dominó_2001,Médio,5.668384385000536,1541,0.0083775,AC,0.0502416550007183,10,0,0,0,0,10
Reduzindo detalhes em um mapa,Médio,3.637049167000441,1540,0.0074625,AC,0.7849978270005522,52,0,0,0,0,52
Caminho das Pontes,Médio,2.620634909000728,1878,0.00752,RE,0.046244316999946,0,0,1,0,0,1
Botas Trocadas,Fácil,2.145868272998996,1277,0.0048675,AC,0.0717737740014854,28,0,0,0,0,28
VAR,Fácil,2.036841645000095,1212,0.0037425,AC,0.0560406360000342,41,0,0,0,0,41
Dona Lesma,Fácil,1.4267145590001746,1125,0.003825,AC,0.0503211350005585,20,0,0,0,0,20
Frequencia na aula,Fácil,1.5874828169999091,1188,0.0037075,AC,0.776349030998972,100,0,0,0,0,100
Salada de Frutas,Fácil,2.0146386649994383,1489,0.0055475,AC,0.0462156890007463,28,0,0,0,0,28
Ciclovias,Médio,4.542063631000929,1759,0.008535,WA,2.7613029580006696,0,40,0,0,0,40
Pulo do Gato,Médio,2.609866972999953,1495,0.006,WA,0.2040965699998196,4,43,0,0,0,47
Semente,Médio,1.6115926369984663,1206,0.0043775,AC,0.069875568999123,40,0,0,0,0,40
Vice-campeão,Fácil,1.0081252549989586,1074,0.00301,AC,0.0550823579997086,30,0,0,0,0,30
Tanque de combustível,Fácil,1.425895024000056,1287,0.0041675,AC,0.0519714989986823,20,0,0,0,0,20
Candidatas,Difícil,8.38658471600138,2272,0.0172925,WA,1.400538752999637,1,19,0,0,0,20
Toca do Saci,Fácil,6.397692989999996,2006,0.0107775,TLE,15.0,32,0,0,19,0,51
Dígitos,Difícil,4.534180155000286,1350,0.0069625,AC,0.0481324579995998,33,0,0,0,0,33
Caminhos do reino,Difícil,9.283558691999133,2519,0.0171975,AC,2.9122385890004807,40,0,0,0,0,40
Cartas,Fácil,1.9472312629986843,1075,0.003325,AC,0.0596250749986211,30,0,0,0,0,30
Flíper,Fácil,1.462275760999546,1121,0.00354,AC,0.0540590640011942,15,0,0,0,0,15
Drone de Entrega,Médio,2.6961961500001053,1271,0.004515,AC,0.0812626870010717,51,0,0,0,0,51
Aeroporto,Fácil,3.189252326999849,1522,0.0064925,WA,0.1114980950005701,0,10,0,0,0,10
Leilão,Fácil,2.341942307000864,1295,0.0046375,AC,0.0482429820003744,24,0,0,0,0,24
Busca na Internet,Fácil,1.3862947799989342,1017,0.0029675,AC,0.0586051250011223,30,0,0,0,0,30
Mapa,Difícil,3.831010713000069,1436,0.006665,AC,0.6435783420001826,38,0,0,0,0,38
Medalhas,Fácil,2.0006069880000723,1228,0.0041325,AC,0.0712495600000693,69,0,0,0,0,69
Construtora,Médio,3.782577501999185,1485,0.0072,WA,0.6940685890003806,6,32,0,0,0,38
Jogo,Fácil,2.012109572000554,1269,0.00431,AC,0.0391254719997959,18,0,0,0,0,18
Maximin,Médio,3.9725264869994135,1633,0.007195,WA,0.0489183310000953,19,5,0,0,0,24
Carro elétrico,Médio,4.31113059100062,1727,0.00828,AC,0.1860480550003558,19,0,0,0,0,19
Dario e Xerxes,Fácil,3.9035367500000575,1241,0.0046275,WA,0.0458670209991396,0,22,0,0,0,22
Retas,Difícil,4.113040886000817,1647,0.0078925,WA,1.895911116000207,22,21,0,0,0,43
Viagem,Difícil,4.328911155000242,2155,0.0092,AC,0.1302758530000574,28,0,0,0,0,28
Soma,Difícil,1.9303151820004127,1273,0.00452,WA,0.3935901559998456,0,50,0,0,0,50
Estoque,Fácil,2.2905597270000726,1625,0.0061,AC,0.0782273919994622,23,0,0,0,0,23
Recibo de Compra,Médio,2.652180172000953,1237,0.00533,AC,0.0689417619996675,47,0,0,0,0,47
Chaves,Fácil,2.139834617000816,1352,0.00503,AC,0.1957713629999489,78,0,0,0,0,78
Caverna de Ordinskaya,Médio,3.653537938998852,1754,0.007835,AC,0.1594478570004867,90,0,0,0,0,90
Barcos da Nlogônia,Difícil,9.560252121998928,2390,0.0166375,AC,3.655774466998992,52,0,0,0,0,52
Frete,Médio,2.8570973530004267,1600,0.0069125,AC,0.0659705439993558,35,0,0,0,0,35
Teste de redação,Fácil,2.049966709000728,1096,0.003615,WA,0.0192160709993913,0,5,0,0,0,5
Tacos de bilhar,Médio,1.448012976999962,1239,0.00411,WA,0.212425527999585,9,6,0,0,0,15
Bolas,Fácil,1.3706550749993769,1082,0.0035175,AC,0.0516073910002887,19,0,0,0,0,19
Prêmio,Fácil,2.249389755001175,1303,0.0043825,AC,0.0699543719983921,40,0,0,0,0,40
Falha de segurança,Difícil,2.1977875659995334,1360,0.0053,AC,0.3148796639998181,30,0,0,0,0,30
Bombom,Fácil,2.832433845998821,1410,0.0053625,AC,0.0657996869995258,50,0,0,0,0,50
Câmara de Compensação,Difícil,3.9175910989997647,1987,0.0073675,AC,1.4539189349998196,28,0,0,0,0,28
Tira-teima,Fácil,2.124628573999871,1176,0.0036025,AC,0.0732265330007067,46,0,0,0,0,46
Taxa,Difícil,5.252467713000442,1924,0.00956,AC,3.28501906100064,36,0,0,0,0,36
Atlanta,Fácil,5.235296445000131,1414,0.00726,WA,0.0648914869998407,12,28,0,0,0,40
Fuga com helicóptero,Fácil,1.8941953300000025,1222,0.004055,AC,0.0817396180009382,74,0,0,0,0,74
Pirâmide,Médio,2.9110360690010566,1568,0.0059325,AC,0.0959923169993999,86,0,0,0,0,86
Dominó Nlogônico,Médio,4.992381082000065,2080,0.00975,WA,7.489797227999588,20,53,0,0,0,73
Atletismo copy,Fácil,2.2954489379990264,1445,0.0046625,AC,0.2059659709993866,41,0,0,0,0,41
Wifi,Difícil,10.367046772000322,2248,0.0168825,WA,2.224864907000665,3,19,0,0,0,22
Fila_2015,Difícil,12.536132364999505,2642,0.0220675,WA,15.0,0,6,0,24,0,30
Ilhas,Médio,3.7512621139994735,1710,0.0077,AC,0.5296912729991163,24,0,0,0,0,24
Grand Prix da Nlogônia,Difícil,8.156358962000013,1927,0.0132925,TLE,15.0,47,0,0,2,0,49
Retângulo,Médio,2.397194313,1271,0.004715,WA,0.1368478999993385,33,2,0,0,0,35
Passa Bolinha,Difícil,4.903044771001078,1682,0.0084925,AC,0.0819690500011347,40,0,0,0,0,40
Frequência,Difícil,7.134374540999488,1848,0.0114325,TLE,15.0,8,0,0,37,0,45
Lençol,Fácil,2.713892104000479,1297,0.0057175,WA,0.0808195699992211,20,30,0,0,0,50
Subcadeias,Médio,2.980047746999844,1209,0.0051475,AC,0.0566419900005712,40,0,0,0,0,40
Quadrado,Difícil,2.295702159999564,1142,0.0045425,WA,0.0414135500013799,0,15,0,0,0,15
Calculando,Fácil,2.495053847000236,1400,0.00605,AC,0.2309337410006264,10,0,0,0,0,10
Ogro_2021,Fácil,1.7045012050002697,1239,0.00426,AC,0.038408464000895,20,0,0,0,0,20
Sequência,Médio,3.473954885999774,1835,0.00835,AC,1.125415864000388,59,0,0,0,0,59
Xadrez,Fácil,1.3179627939989589,1125,0.0034875,AC,0.046325817998877,26,0,0,0,0,26
Oficina Mecânica,Difícil,2.488371937999545,1848,0.0067325,WA,0.9583497979983804,16,75,0,0,0,91
Cinco,Médio,2.179995123999106,1540,0.0058,WA,1.5837515319999511,12,52,0,0,0,64
Quebra-cabeça,Médio,2.036056109998753,1279,0.004785,AC,0.626669983001193,24,0,0,0,0,24
Trem da mina,Difícil,12.791393536001124,2821,0.021765,WA,0.1167094240008737,3,22,0,0,0,25
Dominó,Fácil,1.2015659409989894,1144,0.00341,AC,0.0960510969998722,42,0,0,0,0,42
Troféu,Fácil,2.0365655749992584,1269,0.004535,AC,0.0480305400014913,25,0,0,0,0,25
Decifra,Fácil,1.7243544889988698,1350,0.0045,AC,0.0509081669988518,20,0,0,0,0,20
Calçada Imperial,Médio,3.1318564299999707,1407,0.00628,AC,4.332489136000731,20,0,0,0,0,20
Tesouro,Médio,7.077082264000637,2211,0.0119775,WA,1.0984694509988913,23,31,0,0,0,54
Relógios,Difícil,5.07373792099861,1930,0.0098625,WA,0.150152853999316,27,21,0,0,0,48
Cabo de guerra,Fácil,3.1980678429990803,1438,0.00497,AC,0.094135131999792,76,0,0,0,0,76
Toupeira,Médio,2.6518478500001947,1796,0.006665,AC,0.8835243209996406,26,0,0,0,0,26
