question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,8.656471010006499,2074,0.0019956,AC,1.012649396987399,33,0,0,0,0,33
Capitais,Difícil,21.267544932023156,3849,0.0047283,WA,0.48718994998489507,14,24,0,0,0,38
Chocolate em barra,Fácil,6.440682585001923,1788,0.0015172,AC,0.0444055600091815,28,0,0,0,0,28
Fita Colorida,Médio,8.573989102995256,2153,0.0021271,AC,0.05254313498153351,31,0,0,0,0,31
Fila_2015,Difícil,38.13271180598531,5654,0.0070809,TLE,15.0,13,0,0,17,0,30
Quebra-cabeça,Médio,6.508383080014028,1625,0.0013650000000000001,AC,0.45040254198829643,24,0,0,0,0,24
Prêmio do Milhão,Fácil,4.086174319003476,1388,0.0010095,AC,0.037838254997041076,20,0,0,0,0,20
Móbile_2015,Fácil,2.6303289830102585,1063,0.0007378,AC,0.03633833400090225,30,0,0,0,0,30
Família real,Médio,14.406830845022341,3018,0.0033154000000000005,AC,0.05935760599095374,15,0,0,0,0,15
Mina,Médio,12.297478327993304,2690,0.0029495000000000003,AC,0.09274782799184322,40,0,0,0,0,40
Cálculo,Médio,28.18938471400179,5197,0.006346,AC,0.041757703002076596,29,0,0,0,0,29
Cobra coral,Fácil,19.1562530430092,3272,0.0039278,AC,0.04994116199668497,25,0,0,0,0,25
Letras,Médio,10.952802821993828,2233,0.0024161,AC,1.9285115220118314,64,0,0,0,0,64
Arquivos,Médio,7.346133462007856,1665,0.0015797,AC,0.17911889401148073,32,0,0,0,0,32
Código,Fácil,3.5609505039756186,1170,0.0008021,AC,0.048404836998088285,28,0,0,0,0,28
