question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,32.19727088100626,961,0.004502,AC,0.7992733790015336,33,0,0,0,0,33
Capitais,Difícil,41.61533531799796,1169,0.007438,AC,0.45169936399906874,38,0,0,0,0,38
Chocolate em barra,Fácil,12.328902238994488,933,0.003856,AC,0.1076755329995649,28,0,0,0,0,28
Fita Colorida,Médio,14.12300301498908,964,0.004658000000000001,AC,0.27294507299666293,31,0,0,0,0,31
Fila_2015,Difícil,144.74758990200644,2470,0.02043,TLE,15.086294034001185,24,0,0,6,0,30
Quebra-cabeça,Médio,28.598186203002115,911,0.003932,AC,0.6228286289988318,24,0,0,0,0,24
Prêmio do Milhão,Fácil,9.941719937007292,836,0.003012,AC,0.03829231399868149,20,0,0,0,0,20
Móbile_2015,Fácil,7.006771805012249,635,0.00248,AC,0.07083118001173716,30,0,0,0,0,30
Família real,Médio,30.71936593099963,1248,0.006936,AC,0.0573636820045067,15,0,0,0,0,15
Mina,Médio,19.588658161999774,1038,0.005766,AC,0.07856071200512815,40,0,0,0,0,40
Cálculo,Médio,23.84487829900172,1242,0.005204,AC,0.04954136398737319,29,0,0,0,0,29
Cobra coral,Fácil,18.579741145993466,706,0.002452,AC,0.08950711700890679,25,0,0,0,0,25
Letras,Médio,40.75498050899478,668,0.002396,AC,0.5640975819987943,64,0,0,0,0,64
Arquivos,Médio,15.342226858003414,741,0.0034920000000000003,AC,0.18132461700588465,32,0,0,0,0,32
Código,Fácil,8.679234492999967,751,0.0028520000000000004,AC,0.05608598999970127,28,0,0,0,0,28
