question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,4.291263538005296,1053,0.005979,WA,0.24707645899616182,0,33,0,0,0,33
Capitais,Difícil,20.594107123994036,2058,0.021642,CE,0.0,0,0,0,0,38,38
Chocolate em barra,Fácil,4.042005559007521,1086,0.005718,AC,0.012070473007042892,28,0,0,0,0,28
Fita Colorida,Médio,5.013641693003592,1136,0.007416,AC,0.032758458008174784,31,0,0,0,0,31
Fila_2015,Difícil,27.60899900899676,2960,0.030864000000000003,CE,0.0,0,0,0,0,30,30
Quebra-cabeça,Médio,2.82643498199468,1000,0.005208,AC,0.2472597159940051,24,0,0,0,0,24
Prêmio do Milhão,Fácil,2.52607227700355,934,0.00435,AC,0.017402633995516226,20,0,0,0,0,20
Móbile_2015,Fácil,2.389274868008215,670,0.003114,AC,0.020619706992874853,30,0,0,0,0,30
Família real,Médio,12.110297923994949,1671,0.014505,AC,0.01741642999695614,15,0,0,0,0,15
Mina,Médio,6.070278391998727,1215,0.008649,AC,0.06740580798941664,40,0,0,0,0,40
Cálculo,Médio,12.72195381000347,1886,0.014802000000000001,AC,0.022509175003506243,29,0,0,0,0,29
Cobra coral,Fácil,13.463700449006865,1507,0.013977,AC,0.012545719990157522,25,0,0,0,0,25
Letras,Médio,3.289486489011324,774,0.003558,WA,0.06190744799096137,4,60,0,0,0,64
Arquivos,Médio,4.660146239009919,847,0.004785,AC,0.11347750699496828,32,0,0,0,0,32
Código,Fácil,2.9548738669982413,814,0.004062,AC,0.024481347005348653,28,0,0,0,0,28
