question_name,llm_code_creation_time,info,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Relógio,84.64118809698266,database/obi_2024/nível 2/fase 1/,AC,0.07856668598833494,52,0,0,0,0,52
Concurso,41.06081260900828,database/obi_2024/nível 2/fase 1/,AC,0.042240210983436555,20,0,0,0,0,20
Jogo da vida,58.27043307499844,database/obi_2024/nível 2/fase 1/,AC,0.3638836909958627,19,0,0,0,0,19
Ogro,23.454989977006335,database/obi_2024/nível 2/fase 1/,AC,0.035163936991011724,20,0,0,0,0,20
Construtora,141.62698039098177,database/obi_2024/nível 2/fase 3/,AC,0.05062579701188952,38,0,0,0,0,38
Retas,130.88766248701722,database/obi_2024/nível 2/fase 3/,AC,1.5213192619848996,43,0,0,0,0,43
Burocracia,552.2069784330088,database/obi_2024/nível 2/fase 3/,NO CODE,0.0,0,0,0,0,0,53
Brigadeiros,153.1423412389995,database/obi_2024/nível 2/fase 3/,AC,1.2061082590080332,67,0,0,0,0,67
Jogo de Pratos,549.3353415940073,database/obi_2024/nível 2/fase 3/,NO CODE,0.0,0,0,0,0,0,73
Jogo do Poder,551.5159172080166,database/obi_2024/nível 2/fase 2/,NO CODE,0.0,0,0,0,0,0,150
Alfabeto Alienígena,23.10394621200976,database/obi_2024/nível 2/fase 2/,AC,0.07001941799535416,61,0,0,0,0,61
Concatena Dígitos,42.789875399990706,database/obi_2024/nível 2/fase 2/,AC,0.22355359999346547,25,0,0,0,0,25
Cubo Preto,14.424583435989916,database/obi_2024/nível 2/fase 2/,AC,0.032493621023604646,11,0,0,0,0,11
