question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,8.863772138996865,990,0.00041003999999999997,AC,0.38747074600541964,33,0,0,0,0,33
Capitais,Difícil,18.30273138800112,1247,0.00047408,WA,0.27174246800132096,8,30,0,0,0,38
Chocolate em barra,Fácil,12.108732109991251,984,0.00041574,AC,0.012290233993553557,28,0,0,0,0,28
Fita Colorida,Médio,23.78023692300485,1012,0.00040990000000000004,AC,0.015602098996168934,31,0,0,0,0,31
Fila_2015,Difícil,53.00473026599502,1467,0.0005895,TLE,15.0,0,0,0,30,0,30
Quebra-cabeça,Médio,36.90328908400261,973,0.00040042,AC,0.45926051698916126,24,0,0,0,0,24
Prêmio do Milhão,Fácil,6.697201076007332,830,0.0003602,AC,0.005599105992587283,20,0,0,0,0,20
Móbile_2015,Fácil,6.806578383999295,601,0.00025990000000000003,AC,0.017330447008134797,30,0,0,0,0,30
Família real,Médio,8.106403216006584,1228,0.00048838,WA,0.008313262005685829,2,13,0,0,0,15
Mina,Médio,13.055838989996118,1173,0.00045443999999999997,AC,0.044821146002504975,40,0,0,0,0,40
Cálculo,Médio,10.970319832995301,1307,0.00054272,WA,0.027696279998053797,0,29,0,0,0,29
Cobra coral,Fácil,4.1344077449903125,787,0.00033214,WA,0.014845380006590858,17,8,0,0,0,25
Letras,Médio,7.433687421987997,822,0.00033726,AC,0.15651208099734504,64,0,0,0,0,64
Arquivos,Médio,1.912506446999032,759,0.0003153,AC,0.15902762000041548,32,0,0,0,0,32
Código,Fácil,36.95367779499793,728,0.0003095,AC,0.02073934300278779,28,0,0,0,0,28
