question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,3.69350271400026,1327,0.006005,AC,0.0429446329999336,22,0,0,0,0,22
Gomoku,Médio,2.847446506000324,1642,0.00633,AC,0.0407399430000623,30,0,0,0,0,30
Notas da Prova,Fácil,3.469604347999848,809,0.00276,AC,0.0389851579998321,20,0,0,0,0,20
Jogo da Vida,Médio,3.3917095080000763,1680,0.00765,AC,0.1422211039998728,19,0,0,0,0,19
Muro,Médio,2.243696709999768,813,0.00357,WA,0.0686096350000298,4,37,0,0,0,41
O Chefe,Médio,6.372206086000006,1785,0.010275,AC,0.1457468309999967,28,0,0,0,0,28
Proteja sua senha,Médio,3.719249251000292,1296,0.006715,WA,0.0200329089998376,5,5,0,0,0,10
Chinelos,Fácil,2.1767089939999096,958,0.0040825,AC,0.0302182410000568,16,0,0,0,0,16
Jogo dos copos,Fácil,2.166339483999764,1003,0.0043075,AC,0.0812329629998203,50,0,0,0,0,50
Tiro ao Alvo,Médio,2.0716724720000457,1087,0.004205,AC,0.4791762049999306,41,0,0,0,0,41
Robô_2021,Médio,1.8461958369998683,1078,0.0040825,AC,0.0692782490000354,50,0,0,0,0,50
Transportes,Difícil,6.263756573999672,2322,0.0125425,AC,5.645934322999892,107,0,0,0,0,107
Jogo de Dominós,Fácil,3.867650578999928,620,0.0019,AC,0.0641974930003925,42,0,0,0,0,42
Arco e flecha,Médio,4.329859231000228,1229,0.00751,RE,0.9488274360001014,7,0,32,0,0,39
Móbile,Médio,2.8456780169999547,1274,0.005885,WA,0.1646308370000042,102,1,0,0,0,103
Campo de Minhocas,Fácil,3.7738449839998793,1135,0.004375,AC,0.0475440840000374,20,0,0,0,0,20
Entrega de Caixas,Fácil,1.565789501999916,777,0.0026925,WA,0.0531411839997417,17,5,0,0,0,22
Cinema,Fácil,1.359202057999937,485,0.002,AC,0.037145836000036,20,0,0,0,0,20
Montanha,Médio,3.420124245000352,788,0.00297,AC,0.0435111179999694,33,0,0,0,0,33
Torre,Médio,2.995854985999813,921,0.0044775,WA,0.523811969000235,0,33,0,0,0,33
Mesa redonda,Fácil,2.093645190999723,884,0.00306,AC,0.0755360009998185,65,0,0,0,0,65
Pizzaria,Fácil,3.123725001999901,824,0.002535,AC,0.0262806170003386,10,0,0,0,0,10
Redes de Descanso,Médio,2.3791181369997503,970,0.003775,AC,0.1852632869999979,35,0,0,0,0,35
Mancha,Médio,3.203984782000134,1208,0.0054825,WA,0.1462338870001076,27,3,0,0,0,30
Escher,Fácil,1.920103772999937,770,0.003275,WA,0.0896742709996942,46,8,0,0,0,54
Nova avenida,Fácil,2.1918716889999814,924,0.00421,WA,0.0769107840001197,1,11,0,0,0,12
Game Show,Fácil,1.2485695580003269,1050,0.00335,AC,0.0387142239997047,25,0,0,0,0,25
Manchas de pele,Difícil,3.8959803190000457,1234,0.007285,AC,0.5863617500003784,61,0,0,0,0,61
Castelos da Nlogônia,Médio,4.208062371999858,1244,0.00676,AC,0.0658360180000272,36,0,0,0,0,36
Capitais,Difícil,4.8496162520000325,1013,0.0063825,AC,0.3904878429998462,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,2.614020277000236,836,0.0043775,AC,0.0505122800000208,20,0,0,0,0,20
Piloto Automático,Fácil,1.6137782999999215,718,0.0025825,AC,0.0286461489999965,17,0,0,0,0,17
Falta uma,Fácil,5.016275170999961,919,0.0066225,WA,0.2027645039997878,5,23,0,0,0,28
Palavras Cruzadas_2020,Médio,2.003863044999889,929,0.00351,AC,0.0351154820000374,20,0,0,0,0,20
Piso da escola,Fácil,1.8137920240001224,801,0.00284,AC,0.0548636929997883,30,0,0,0,0,30
Ônibus,Médio,3.248697292000088,901,0.00494,AC,0.0737586769996596,19,0,0,0,0,19
Chocolate em barra,Fácil,1.5067284059996382,826,0.003265,AC,0.0413853790000757,28,0,0,0,0,28
Campo Minado,Fácil,1.3468737779999174,781,0.0028275,AC,0.0667108640000151,48,0,0,0,0,48
Fila_2025,Médio,1.769576132000111,925,0.0036125,AC,0.1667230259999996,26,0,0,0,0,26
Jogo dos Pinos,Fácil,4.50893740499987,953,0.00467,AC,0.03053865100037,16,0,0,0,0,16
