question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Arquivos,Médio,1.6606386630000998,732,0.003364,AC,0.0806796930000928,32,0,0,0,0,32
Capitais,Difícil,1.948802851999972,1076,0.006302,WA,0.1737365140002111,15,23,0,0,0,38
Chocolate em barra,Fácil,1.474243863999618,935,0.0038599999999999,AC,0.0433962410002095,28,0,0,0,0,28
Cobra coral,Fácil,0.8356421759999648,648,0.001736,WA,0.0357071090002136,0,25,0,0,0,25
Cálculo,Médio,1.2751775140000063,1258,0.005376,AC,0.0395049779999681,29,0,0,0,0,29
Código,Fácil,2.592500708999978,753,0.002856,AC,0.0377770009999949,28,0,0,0,0,28
Família real,Médio,2.707194366999829,1186,0.0061719999999999995,AC,0.028210223999849404,15,0,0,0,0,15
Fila_2015,Difícil,1.5458782229998178,1233,0.005566,TLE,15.0,15,0,0,15,0,30
Fita Colorida,Médio,1.643157563999921,909,0.003978,AC,0.05249094499959028,31,0,0,0,0,31
Letras,Médio,1.0781262689997675,710,0.0028799999999999997,AC,0.5287548099995547,64,0,0,0,0,64
Mina,Médio,1.523322533999817,1000,0.0052899999999999996,AC,0.0830255290002242,40,0,0,0,0,40
Móbile_2015,Fácil,1.0428423530001965,667,0.002844,AC,0.04332169999997859,30,0,0,0,0,30
Prêmio do Milhão,Fácil,1.4611407319998762,800,0.0025599999999999998,AC,0.03176040299968008,20,0,0,0,0,20
Quebra-cabeça,Médio,1.7838280079995457,908,0.003876,AC,0.16998602599960577,24,0,0,0,0,24
Torre,Médio,1.6257782289994793,939,0.004218,AC,0.3340674619994388,33,0,0,0,0,33
