question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,69.65213215899712,7643,0.0213116,AC,3.194451803996344,33,0,0,0,0,33
Capitais,Difícil,105.29166639498726,8573,0.0243646,TLE,15.0,6,0,0,32,0,38
Chocolate em barra,Fácil,37.57663666400185,3717,0.008678,AC,0.20933048299048096,28,0,0,0,0,28
Fita Colorida,Médio,66.21481410000706,6182,0.0166848,AC,0.04115247601293959,31,0,0,0,0,31
Fila_2015,Difícil,113.98918733799655,10674,0.030480599999999997,TLE,17.5255533340096,27,0,0,3,0,30
Quebra-cabeça,Médio,34.17052083899034,4189,0.010285200000000001,AC,0.09461097000166774,24,0,0,0,0,24
Prêmio do Milhão,Fácil,16.588711909003905,2759,0.0057444,AC,0.00806160899810493,20,0,0,0,0,20
Móbile_2015,Fácil,17.46631322299072,2530,0.005411999999999999,AC,0.05182133200287353,30,0,0,0,0,30
Família real,Médio,48.825996277999366,5565,0.0144904,AC,0.0046940280008129776,15,0,0,0,0,15
Mina,Médio,59.69750136900984,5952,0.0159642,AC,0.08658480898884591,40,0,0,0,0,40
Cálculo,Médio,141.21939226900577,11679,0.0336526,AC,0.033901724993484095,29,0,0,0,0,29
Cobra coral,Fácil,88.87155374699796,8393,0.023951399999999998,AC,0.012304781004786491,25,0,0,0,0,25
Letras,Médio,125.23819925499265,9717,0.028280599999999996,AC,0.1572310759947868,64,0,0,0,0,64
Arquivos,Médio,70.68376230399008,3872,0.009598599999999999,AC,0.1456378040020354,32,0,0,0,0,32
Código,Fácil,19.185285208004643,2668,0.005699599999999999,AC,0.029420095001114532,28,0,0,0,0,28
