question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,2.625415002999944,1667,0.00184125,AC,0.0476512979985273,22,0,0,0,0,22
Gomoku,Médio,2.4132760020002024,1974,0.0021096,AC,0.0491100630024448,30,0,0,0,0,30
Notas da Prova,Fácil,1.415995778999786,1006,0.00057795,AC,0.0330777810013387,20,0,0,0,0,20
Jogo da Vida,Médio,2.1715350539998326,2556,0.00227295,AC,0.146227553999779,19,0,0,0,0,19
Muro,Médio,5.345639596998808,2599,0.00167685,WA,0.0723565359985514,3,38,0,0,0,41
O Chefe,Médio,5.654527520997362,2436,0.0046476,WA,0.2364879849992576,0,28,0,0,0,28
Proteja sua senha,Médio,2.4882147569987865,1593,0.00213435,WA,0.0243590140016749,5,5,0,0,0,10
Chinelos,Fácil,3.664946728000359,1121,0.0008994,AC,0.0337550699987332,16,0,0,0,0,16
Jogo dos copos,Fácil,1.7565433349991508,1282,0.00106395,AC,0.0570021249986893,50,0,0,0,0,50
Tiro ao Alvo,Médio,2.134204686000885,1314,0.0013554,WA,0.4496950440006912,5,36,0,0,0,41
Robô_2021,Médio,1.6366105070010235,1268,0.00116715,AC,0.0785931419995904,50,0,0,0,0,50
Transportes,Difícil,2.195509106000827,2281,0.00213225,WA,1.8472984549989635,65,42,0,0,0,107
Jogo de Dominós,Fácil,1.0324344410000776,809,0.00050745,AC,0.066722652001772,42,0,0,0,0,42
Arco e flecha,Médio,2.394020480998733,1332,0.0016155,WA,2.046870428999682,1,38,0,0,0,39
Móbile,Médio,2.5660618529982457,2039,0.0014524499999999,RE,0.2629926339977828,0,0,103,0,0,103
Campo de Minhocas,Fácil,1.3924572949981666,1354,0.0011859,AC,0.0378574150017811,20,0,0,0,0,20
Entrega de Caixas,Fácil,1.2612888229996315,1008,0.00050805,WA,0.0416290829998615,17,5,0,0,0,22
Cinema,Fácil,1.0183250789996237,606,0.00054135,AC,0.041976982000051,20,0,0,0,0,20
Montanha,Médio,1.2215982410016295,963,0.0004779,AC,0.0491017800013651,33,0,0,0,0,33
Torre,Médio,1.8248975880014768,1107,0.001377,WA,0.7994706969984691,0,33,0,0,0,33
Mesa redonda,Fácil,1.810688885001582,1077,0.00075825,WA,0.0778321319994574,17,48,0,0,0,65
Pizzaria,Fácil,0.9290251140009786,1099,0.00053925,AC,0.0296373159981158,10,0,0,0,0,10
Redes de Descanso,Médio,2.0737253000006604,1397,0.00148485,WA,0.2797160219997749,11,24,0,0,0,35
Mancha,Médio,5.130340984000213,2301,0.0030537,TLE,15.0,10,0,0,20,0,30
Escher,Fácil,1.6028208800016728,982,0.0008025,AC,0.0853234339992923,54,0,0,0,0,54
Nova avenida,Fácil,1.3670876949981905,1065,0.00099045,AC,0.1086117119994014,12,0,0,0,0,12
Game Show,Fácil,0.8464748619990132,1201,0.0005487,AC,0.0404992920011864,25,0,0,0,0,25
Manchas de pele,Difícil,4.031039072000567,1404,0.00200655,AC,0.9532555919977312,61,0,0,0,0,61
Castelos da Nlogônia,Médio,4.557152327997756,1539,0.0022023,AC,0.0626039630005834,36,0,0,0,0,36
Capitais,Difícil,2.232297315000324,1147,0.0018861,WA,0.3581414110012701,1,37,0,0,0,38
Quadrado Mágico_2022,Médio,5.07948612600012,1296,0.00300825,WA,0.0401117830006114,0,20,0,0,0,20
Piloto Automático,Fácil,1.3938788619998377,854,0.00048495,AC,0.0289355799977784,17,0,0,0,0,17
Falta uma,Fácil,1.658868315997097,917,0.0010326,RE,0.1279459809993568,0,0,28,0,0,28
Palavras Cruzadas_2020,Médio,1.450077785000758,1332,0.00104805,AC,0.0563618169981054,20,0,0,0,0,20
Piso da escola,Fácil,1.6288294450023386,1266,0.0006111,WA,0.0477181030000792,5,25,0,0,0,30
Ônibus,Médio,2.171289649002574,1184,0.00169275,RE,0.1556415029990603,0,0,19,0,0,19
Chocolate em barra,Fácil,1.638230991000455,1073,0.0010209,RE,0.1502458719987771,0,0,28,0,0,28
Campo Minado,Fácil,1.7412142869980016,988,0.0010374,AC,0.0876800910009478,48,0,0,0,0,48
Fila_2025,Médio,3.4199485429999186,1596,0.0010701,AC,0.1668417229993792,26,0,0,0,0,26
Jogo dos Pinos,Fácil,2.139570420000382,1339,0.001365,AC,0.028773447000276,16,0,0,0,0,16
Diagonal,Médio,8.920398956001009,1339,0.0013065,WA,15.0,12,33,0,1,0,46
Sr. Toupeira,Médio,2.0014845629993943,1601,0.00177285,AC,0.3782272110001941,26,0,0,0,0,26
Sr. Sapo,Difícil,4.434629555998981,1528,0.0025282499999999,AC,0.0987924080000084,29,0,0,0,0,29
Duende Perdido,Médio,4.647670499001833,1600,0.0021237,AC,0.0373953089983842,20,0,0,0,0,20
Bingo!,Médio,1.8688850729995463,1228,0.0015297,WA,3.342071956998552,1,34,0,0,0,35
Ponto do meio,Fácil,1.5715960779998568,997,0.00050055,RE,0.1307569880009396,0,0,31,0,0,31
Game-10,Fácil,1.6389343939990797,1006,0.0007008,WA,0.0772287429972493,20,26,0,0,0,46
TV da Vovó,Médio,2.384878058997856,2055,0.00191115,WA,13.633757666997552,1,9,0,0,0,10
Dança Indígena,Difícil,3.789652553001361,1938,0.00329175,TLE,15.0,5,10,0,15,0,30
Chuva_2016,Médio,1.867532480999216,1145,0.00141195,AC,0.3466063029991346,40,0,0,0,0,40
Dança de Formatura,Médio,4.437312514000951,2337,0.004077,WA,1.909647992997634,15,40,0,0,0,55
Cubo Preto,Fácil,1.082628026000748,918,0.0005823,AC,0.0253210560003935,11,0,0,0,0,11
Competição de chocolate,Médio,1.302921332000551,1245,0.0007308,WA,0.0872881369978131,73,16,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,3.4030185859992343,1428,0.0020511,AC,0.7138836820013239,52,0,0,0,0,52
Dominó_2019,Fácil,0.8353887370030861,839,0.0004300499999999,AC,0.0691389579988026,42,0,0,0,0,42
Caminho das Pontes,Difícil,2.2782917309996265,1816,0.0018987,RE,0.1929562920013268,4,0,26,0,0,30
Macacos me mordam!,Difícil,2.1981329120026203,1303,0.0019797,WA,15.0,11,18,0,9,0,38
Rodovia_2022,Difícil,6.333395413003018,2180,0.0065748,WA,15.0,5,6,0,2,0,13
VAR,Fácil,1.187382511998294,1053,0.0003919499999999,WA,0.0519566700022551,31,10,0,0,0,41
Computador,Difícil,1.7862034060017322,1259,0.0017508,TLE,15.0,9,0,0,33,0,42
Pulo do Gato,Médio,2.460580104001565,1389,0.00137835,RE,0.1725182589980249,0,0,47,0,0,47
Semente,Fácil,2.8152447150023363,1105,0.001599,WA,0.0641490329981024,22,18,0,0,0,40
Álbum de fotos,Médio,4.545569736001198,1233,0.00264195,AC,0.06792974900236,57,0,0,0,0,57
Toca do Saci,Médio,2.5323053899992374,1552,0.00237975,WA,0.8358797959990625,0,51,0,0,0,51
Caminhos do reino,Difícil,5.368220839998685,2315,0.00584625,WA,15.0,2,23,0,15,0,40
Cartas,Fácil,1.1722330409975257,727,0.0003255,AC,0.0450955359992804,30,0,0,0,0,30
Flíper,Fácil,1.1688247130005038,814,0.00038535,WA,0.0375044900029024,8,7,0,0,0,15
Avião,Médio,2.228313216997776,1453,0.00099015,AC,0.0515290570001525,32,0,0,0,0,32
Medalhas,Fácil,1.3738592509980665,885,0.00070605,AC,0.0773512849991675,69,0,0,0,0,69
Elevador_2018,Fácil,2.096418630997505,1577,0.00176925,WA,0.0837246429982769,14,10,0,0,0,24
Cubra os Furos,Médio,12.778889048000565,1886,0.00170445,WA,0.106091239998932,1,9,0,0,0,10
Carro elétrico,Difícil,2.3760671579984773,1519,0.0023046,WA,0.1866493339985027,5,14,0,0,0,19
Dario e Xerxes,Fácil,9.16665888499847,991,0.00129525,AC,0.0474438819983333,22,0,0,0,0,22
O Tabuleiro Esburacado,Fácil,3.3786431519984035,1472,0.00193485,WA,0.0364106199995148,1,19,0,0,0,20
Retas,Médio,2.689632306999556,2335,0.00231585,WA,1.1196405139999115,1,42,0,0,0,43
Viagem,Difícil,2.939752498001326,1927,0.00294495,AC,0.0966943060011544,28,0,0,0,0,28
Soma,Médio,2.4683031599997776,1005,0.00120375,WA,0.7979148049998912,22,24,0,0,0,46
Estoque,Fácil,3.234427454000979,1459,0.00141225,AC,0.0669307909993222,23,0,0,0,0,23
Frete,Médio,3.4694847030004894,1387,0.0018285,AC,0.0467961319991445,35,0,0,0,0,35
Caçadores de Mitos,Fácil,1.3243477799987886,1343,0.00095025,AC,0.628980091001722,20,0,0,0,0,20
Linhas Cruzadas,Médio,2.240355065001495,1588,0.0014667,AC,0.3859795830030634,40,0,0,0,0,40
Bolas,Fácil,2.68690942199828,1025,0.0005808,AC,0.0405141029987135,19,0,0,0,0,19
Xadrez Aleatório,Médio,1.5051564529967436,870,0.00075645,AC,0.0674850899995362,57,0,0,0,0,57
Bombom,Fácil,2.6544591279998717,1296,0.0024993,AC,0.055667150998488,50,0,0,0,0,50
Câmara de Compensação,Difícil,5.349253337000846,2319,0.00319095,RE,15.0,0,6,16,6,0,28
Taxa,Difícil,2.264440369999648,1459,0.00144735,WA,0.061603763999301,2,34,0,0,0,36
Atlanta,Fácil,1.9030823829998555,1063,0.001581,WA,0.0640538699990429,12,28,0,0,0,40
Fuga com helicóptero,Fácil,2.322394864000671,993,0.00095625,AC,0.0693162239986122,74,0,0,0,0,74
Pirâmide,Fácil,1.3746435280008882,989,0.00060465,AC,0.0662795770003867,39,0,0,0,0,39
Wifi,Difícil,3.0207438729994465,1869,0.00168435,WA,0.6306584890007798,1,21,0,0,0,22
Fitas Verde-amarelas,Difícil,8.773192880998977,3258,0.0078948,WA,15.0,20,35,0,5,0,60
Retângulo,Difícil,2.752590747000795,1159,0.00164805,WA,15.0,30,2,0,3,0,35
Copa do Mundo,Médio,4.10161977000098,2275,0.00345345,WA,0.0643496080010663,28,22,0,0,0,50
Passa Bolinha,Difícil,2.338139854000474,1415,0.00217785,WA,0.0862138800002867,0,40,0,0,0,40
Transmissão de Energia,Médio,2.1000112500005343,1595,0.00174855,AC,0.1688236469999537,10,0,0,0,0,10
Quadrado,Médio,4.109848257998237,1395,0.0037017,WA,0.0613555169984465,0,30,0,0,0,30
Chocolate,Fácil,1.489015641000151,1319,0.000777,WA,0.0804676919979101,0,99,0,0,0,99
Xadrez,Fácil,0.9635153460003494,1066,0.0004992,AC,0.0516105089991469,26,0,0,0,0,26
Pizza,Médio,2.043276036001771,1298,0.0012945,WA,0.2082267170007981,21,27,0,0,0,48
Construção de Rodovia,Difícil,3.577830038000684,1371,0.0023292,WA,0.6322760069997457,0,13,0,0,0,13
Dividindo o império,Médio,13.514966081998864,1250,0.00174945,AC,0.2377103809994878,18,0,0,0,0,18
Cinco,Médio,2.2750696729999618,1567,0.0017560499999999,TLE,15.0,22,0,0,42,0,64
Quebra-cabeça,Médio,2.4001895610017527,1359,0.0011106,AC,0.4780614819974289,24,0,0,0,0,24
Dominó,Médio,11.306239149998872,2143,0.0017196,WA,0.0460857590005616,2,8,0,0,0,10
Calçada Imperial,Médio,1.4249585350007692,1004,0.0010398,AC,1.0064201499990304,20,0,0,0,0,20
Nota cortada,Fácil,1.240997258999414,1297,0.0009024,AC,0.0613528290014073,65,0,0,0,0,65
Gráfico de Barras,Fácil,1.246933766997245,1352,0.00100425,WA,0.0482047890000103,0,22,0,0,0,22
Tesouro,Médio,5.3582844940028735,2010,0.0026005499999999,AC,0.4106241339977714,54,0,0,0,0,54
Relógios,Difícil,3.411529116998281,1870,0.00290715,WA,0.1064587599976221,12,36,0,0,0,48
Cabo de guerra,Fácil,1.1922295720032707,1240,0.000771,AC,0.0801119580028171,76,0,0,0,0,76
Toupeira,Médio,2.140894185002253,1601,0.00180795,RE,0.4187513910001144,1,0,25,0,0,26
Copa,Fácil,1.2355572339984064,963,0.0008757,WA,0.0730120130028808,32,26,0,0,0,58
Corredor,Médio,1.8570651350019036,958,0.0007989,AC,0.1191410629980964,30,0,0,0,0,30
Linhas de Ônibus,Médio,5.02241057900028,1605,0.00275625,WA,0.3960421199990378,0,65,0,0,0,65
Câmeras,Médio,4.255682705999789,1691,0.0033834,WA,0.0793160970024473,50,10,0,0,0,60
Passatempo,Médio,28.47059806499965,1901,0.00429825,RE,0.392830293996667,2,0,28,0,0,30
Trilhas,Médio,2.090013670000189,1749,0.001836,WA,0.0944890190003207,18,2,0,0,0,20
