question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,1.7935020349978004,1706,0.0003620999999999,WA,15.0,0,32,0,1,0,33
Capitais,Difícil,2.360834534978494,1753,0.0004209,CE,15.0,0,0,0,17,21,38
Chocolate em barra,Fácil,1.501749513001414,1694,0.0003414,AC,0.046140533988364,28,0,0,0,0,28
Fita Colorida,Médio,2.205795504996786,1766,0.0004116,AC,0.0816885019885376,31,0,0,0,0,31
Fila_2015,Difícil,4.133092509990092,2351,0.0006501,WA,15.0,0,16,3,11,0,30
Quebra-cabeça,Médio,1.5816491580044385,1619,0.00032159999999999996,AC,0.8902196330018342,24,0,0,0,0,24
Prêmio do Milhão,Fácil,1.2626675500068814,1583,0.0002937,AC,0.01593683598912321,20,0,0,0,0,20
Móbile_2015,Fácil,1.0591813570063096,1357,0.00024855,AC,0.10077605498372577,30,0,0,0,0,30
Família real,Médio,4.416608061990701,1990,0.00049245,WA,0.0719199440209195,0,15,0,0,0,15
Mina,Médio,2.0015129700186662,1813,0.0004443,WA,0.05871845898218453,2,38,0,0,0,40
Cálculo,Médio,1.9057211950130295,2000,0.0004188,WA,0.013984349003294483,0,29,0,0,0,29
Cobra coral,Fácil,1.2507733699749224,1463,0.00026984999999999997,WA,0.012152000999776646,9,16,0,0,0,25
Letras,Médio,1.2751343180134427,1473,0.00029204999999999997,WA,0.2580721190024633,6,58,0,0,0,64
Arquivos,Médio,1.4157578099984676,1476,0.000297,AC,0.11986803298350424,32,0,0,0,0,32
Código,Fácil,1.4802234610251617,1536,0.00031275,AC,0.014622757997130975,28,0,0,0,0,28
