question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,39.50388868400478,3861,0.010773399999999999,AC,0.7312063769932138,33,0,0,0,0,33
Capitais,Difícil,108.16822062100982,6819,0.020318199999999998,WA,0.13366642499750014,35,3,0,0,0,38
Chocolate em barra,Fácil,68.69503337200149,7982,0.0238924,AC,0.013247950002551079,28,0,0,0,0,28
Fita Colorida,Médio,36.96485403200495,1530,0.0033648,AC,0.01750478798930999,31,0,0,0,0,31
Fila_2015,Difícil,177.00415243700263,9334,0.027759,AC,5.192680239997571,30,0,0,0,0,30
Quebra-cabeça,Médio,39.86587242000678,4669,0.0133876,AC,0.08574418000353035,24,0,0,0,0,24
Prêmio do Milhão,Fácil,20.61742298801255,1873,0.0044756,AC,0.012279408998438157,20,0,0,0,0,20
Móbile_2015,Fácil,21.866278300003614,1418,0.0034199999999999994,AC,0.017461246010498144,30,0,0,0,0,30
Família real,Médio,63.49164367100457,7715,0.0229368,AC,0.0073750440060393885,15,0,0,0,0,15
Mina,Médio,27.363317900002585,4025,0.0113642,AC,0.03614752599969506,40,0,0,0,0,40
Cálculo,Médio,525.1435060660006,5736,0.016427999999999998,CE,0.0,0,0,0,0,29,29
Cobra coral,Fácil,49.53369515600207,6895,0.020724199999999998,AC,0.016466568005853333,25,0,0,0,0,25
Letras,Médio,60.46343787299702,7432,0.022535,AC,0.2434555840009125,64,0,0,0,0,64
Arquivos,Médio,29.187070865998976,4239,0.0123394,AC,0.07297623199701775,32,0,0,0,0,32
Código,Fácil,24.208263374006492,2150,0.0056083999999999995,AC,0.017791653008316644,28,0,0,0,0,28
