question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,7.766875269997399,958,0.00040162,AC,0.8459909010125557,33,0,0,0,0,33
Capitais,Difícil,7.0036099450080656,1171,0.00045118000000000003,WA,15.0,18,15,0,5,0,38
Chocolate em barra,Fácil,37.03584767799475,990,0.00041687999999999995,AC,0.05757321800047066,28,0,0,0,0,28
Fita Colorida,Médio,8.182880348991603,986,0.00040207999999999997,AC,0.06707314000232145,31,0,0,0,0,31
Fila_2015,Difícil,57.99245914800849,2792,0.00096104,WA,15.0,0,6,0,24,0,30
Quebra-cabeça,Médio,56.07861483898887,997,0.0004066,AC,0.5760717009979999,24,0,0,0,0,24
Prêmio do Milhão,Fácil,4.070367175998399,826,0.00035853999999999997,AC,0.040579713007900864,20,0,0,0,0,20
Móbile_2015,Fácil,29.002022870001383,600,0.000258,AC,0.05024186799710151,30,0,0,0,0,30
Família real,Médio,77.54356881399872,1232,0.00048896,AC,0.04285166200133972,15,0,0,0,0,15
Mina,Médio,14.3960661769961,1053,0.00042138,AC,0.08002959299483337,40,0,0,0,0,40
Cálculo,Médio,10.87820664299943,1339,0.00055006,AC,0.0526988840138074,29,0,0,0,0,29
Cobra coral,Fácil,7.444719752005767,825,0.00034332000000000004,WA,0.04386237399012316,0,25,0,0,0,25
Letras,Médio,3.823770584000158,686,0.00029971999999999996,AC,0.5804525819985429,64,0,0,0,0,64
Arquivos,Médio,6.652993777999654,736,0.0003094,AC,0.23402780400647316,32,0,0,0,0,32
Código,Fácil,28.04273175301205,696,0.00030000000000000003,AC,0.05615111799852457,28,0,0,0,0,28
