question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,36.54454876900127,6954,0.050378,AC,0.0583615850009664,22,0,0,0,0,22
Gomoku,Médio,19.68489591199977,5144,0.036008,AC,0.047974837001675,30,0,0,0,0,30
Notas da Prova,Fácil,7.55197304900139,2604,0.011958,AC,0.036381772999448,20,0,0,0,0,20
Jogo da Vida,Médio,22.96323451900025,5223,0.0310259999999999,AC,0.1729640210032812,19,0,0,0,0,19
Muro,Médio,33.32502754400048,5905,0.04146,AC,0.0553976410010363,41,0,0,0,0,41
O Chefe,Médio,67.86377221699877,11742,0.1160839999999999,AC,0.1158178039986523,28,0,0,0,0,28
Proteja sua senha,Médio,33.497216223997384,6172,0.052904,AC,0.0237589049975213,10,0,0,0,0,10
Chinelos,Fácil,13.32622760600134,3338,0.020716,AC,0.0372158730024239,16,0,0,0,0,16
Jogo dos copos,Fácil,10.246270638999704,3209,0.018268,AC,0.0768587880011182,50,0,0,0,0,50
Tiro ao Alvo,Médio,16.518627690998983,4075,0.02767,AC,0.36973031999878,41,0,0,0,0,41
Robô_2021,Médio,9.47248066800239,3301,0.018262,AC,0.0887864699980127,50,0,0,0,0,50
Transportes,Difícil,67.69573866700011,9955,0.08989,AC,6.2034606209999765,107,0,0,0,0,107
Jogo de Dominós,Fácil,19.25461174100201,2413,0.011486,AC,0.0631535770007758,42,0,0,0,0,42
Arco e flecha,Médio,83.01626978799686,10353,0.103996,AC,3.313775573002204,39,0,0,0,0,39
Móbile,Médio,31.981692813002155,5815,0.04739,WA,0.1516066619988123,102,1,0,0,0,103
Campo de Minhocas,Fácil,9.734321717998682,3260,0.01733,AC,0.03873396400013,20,0,0,0,0,20
Entrega de Caixas,Fácil,17.267518215001473,3586,0.023982,AC,0.0431350590006331,22,0,0,0,0,22
Cinema,Fácil,8.009633790999942,2398,0.013196,AC,0.0341536220003035,20,0,0,0,0,20
Montanha,Médio,9.268877045000409,2912,0.016824,AC,0.0433445509988814,33,0,0,0,0,33
Torre,Médio,32.466131089000555,4550,0.03568,AC,0.6418687900004443,33,0,0,0,0,33
Mesa redonda,Fácil,13.53869440500057,3384,0.021178,AC,0.0566548829992825,65,0,0,0,0,65
Pizzaria,Fácil,10.551646044998051,2737,0.013304,AC,0.0285253430010925,10,0,0,0,0,10
Redes de Descanso,Médio,24.359477926002,4542,0.034144,AC,0.2136710029990354,35,0,0,0,0,35
Mancha,Médio,65.22010786999817,10406,0.102782,AC,0.1606492569990223,30,0,0,0,0,30
Escher,Fácil,12.780494989001454,3031,0.018122,AC,0.1132221830011985,54,0,0,0,0,54
Nova avenida,Fácil,18.35317027700148,3684,0.024778,AC,0.0947876409991295,12,0,0,0,0,12
Game Show,Fácil,9.220151904999511,3037,0.015354,AC,0.0366320079992874,25,0,0,0,0,25
Manchas de pele,Difícil,24.70083223800248,5496,0.045512,AC,0.697987302999536,61,0,0,0,0,61
Castelos da Nlogônia,Médio,19.205029003001982,4056,0.027852,AC,0.2462580079991312,36,0,0,0,0,36
Capitais,Difícil,34.513577435001935,6704,0.061938,AC,0.3797300020014518,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,27.35898077000093,3734,0.026938,AC,0.0366273630024807,20,0,0,0,0,20
Piloto Automático,Fácil,10.596863968999967,2840,0.01566,AC,0.0337997969982097,17,0,0,0,0,17
Falta uma,Fácil,41.15486528600013,4551,0.037862,AC,0.1754691989990533,28,0,0,0,0,28
Palavras Cruzadas_2020,Médio,17.290270790002978,3384,0.020548,AC,0.0369239510000625,20,0,0,0,0,20
Piso da escola,Fácil,11.82908135300022,3207,0.019644,AC,0.0582772110028599,30,0,0,0,0,30
Ônibus,Médio,18.02334996799982,4007,0.029834,AC,0.0568764070012548,19,0,0,0,0,19
Chocolate em barra,Fácil,17.876683025999228,3088,0.018566,AC,0.0441800750013499,28,0,0,0,0,28
Campo Minado,Fácil,7.965877654001815,3658,0.014706,AC,0.061986444001377,48,0,0,0,0,48
Fila_2025,Médio,14.549352612000805,3754,0.0250379999999999,AC,0.1510777459989185,26,0,0,0,0,26
Jogo dos Pinos,Fácil,34.514513219000946,8941,0.066552,AC,0.0310286999992968,16,0,0,0,0,16
Diagonal,Médio,66.19032243200127,9253,0.089736,AC,0.6710044709980139,46,0,0,0,0,46
Sr. Toupeira,Médio,52.14437761899899,6215,0.05134,AC,0.3496369489985227,26,0,0,0,0,26
Sr. Sapo,Difícil,29.62205854300192,6158,0.053226,AC,0.0858496010005183,29,0,0,0,0,29
Duende Perdido,Médio,18.432519170000887,5630,0.03517,AC,0.0435987190030573,20,0,0,0,0,20
Bingo!,Médio,29.866222808999737,5985,0.05163,AC,0.9478075570004876,35,0,0,0,0,35
Ponto do meio,Fácil,10.662077797001984,2773,0.014996,AC,0.0648298770029214,31,0,0,0,0,31
Game-10,Fácil,9.44431149400043,2621,0.012362,AC,0.0567744660002063,46,0,0,0,0,46
TV da Vovó,Médio,45.07131163500162,8345,0.0780899999999999,AC,0.1627153389999875,10,0,0,0,0,10
Dança Indígena,Difícil,113.29969355399952,14405,0.14965,AC,0.0799464779993286,30,0,0,0,0,30
Chuva_2016,Médio,27.74707590500111,5057,0.042014,AC,0.3112198710005032,40,0,0,0,0,40
Dança de Formatura,Médio,28.846291829999245,7562,0.053934,AC,1.502026272999501,55,0,0,0,0,55
Cubo Preto,Fácil,16.48283913299747,2245,0.01944,AC,0.0244817249986226,11,0,0,0,0,11
Competição de chocolate,Médio,37.16280297100093,5618,0.049266,WA,0.0703630710013385,72,17,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,16.609599728999456,5289,0.033288,AC,0.5487425299979805,52,0,0,0,0,52
Dominó_2019,Fácil,6.289927212001203,2231,0.0092719999999999,AC,0.0573755120021814,42,0,0,0,0,42
Caminho das Pontes,Difícil,14.475871153998014,4142,0.026434,RE,0.1548032210012024,4,0,26,0,0,30
Macacos me mordam!,Difícil,100.39534889500284,15183,0.162326,AC,0.6887506220009527,38,0,0,0,0,38
Rodovia_2022,Difícil,126.8449647890011,16674,0.179768,AC,0.5842708909985959,13,0,0,0,0,13
VAR,Fácil,9.93354052399809,2678,0.013786,AC,0.0490775290018064,41,0,0,0,0,41
Computador,Difícil,36.193433968001045,6201,0.064832,AC,1.3102168959994742,42,0,0,0,0,42
Pulo do Gato,Médio,31.68577338600153,5136,0.041932,WA,0.1798361289984313,9,38,0,0,0,47
Semente,Fácil,17.180817853000917,2983,0.017436,AC,0.0589695699964067,40,0,0,0,0,40
Álbum de fotos,Médio,32.16041616200164,5213,0.044226,AC,0.0899401239985309,57,0,0,0,0,57
Toca do Saci,Médio,59.06020479799918,8950,0.08483,AC,0.7032075499992061,51,0,0,0,0,51
Caminhos do reino,Difícil,147.82749934200183,21383,0.232996,AC,1.3086013779975474,40,0,0,0,0,40
Cartas,Fácil,18.059691192000173,3134,0.020848,AC,0.0459469949964841,30,0,0,0,0,30
Flíper,Fácil,11.58533222999904,2710,0.01525,AC,0.0321808869994129,15,0,0,0,0,15
Avião,Médio,16.737107903001743,4163,0.028156,AC,0.0413268579977739,32,0,0,0,0,32
Medalhas,Fácil,9.76352552499884,2960,0.01691,AC,0.0596892859975923,69,0,0,0,0,69
Elevador_2018,Fácil,22.282889398997213,4531,0.033672,AC,0.0523954439995577,24,0,0,0,0,24
Cubra os Furos,Médio,137.79199498100206,0,0.0,NO CODE,0.0,0,0,0,0,0,10
Carro elétrico,Difícil,35.41996025899789,7006,0.062822,AC,0.0834171559981769,19,0,0,0,0,19
Dario e Xerxes,Fácil,16.425725135999528,3609,0.025318,AC,0.0427664260023448,22,0,0,0,0,22
O Tabuleiro Esburacado,Fácil,22.08979507099866,4964,0.039368,AC,0.0350615800016385,20,0,0,0,0,20
Retas,Médio,57.40175836699928,12213,0.113796,AC,1.648253620001924,43,0,0,0,0,43
Viagem,Difícil,179.86923623700204,11694,0.116048,AC,0.1048297029992681,28,0,0,0,0,28
Soma,Médio,43.33412103400042,6666,0.061642,AC,0.7863154229999054,46,0,0,0,0,46
Estoque,Fácil,15.56987701399703,3788,0.024046,AC,0.0612116550000791,23,0,0,0,0,23
Frete,Médio,12.196486654000182,3408,0.020526,AC,0.2548908349999692,35,0,0,0,0,35
Caçadores de Mitos,Fácil,48.19555785500052,5125,0.04045,AC,0.5732609309998224,20,0,0,0,0,20
Linhas Cruzadas,Médio,17.598813765001978,4102,0.031274,AC,0.3486279550015752,40,0,0,0,0,40
Bolas,Fácil,10.430886131001898,2654,0.015248,AC,0.0432413659982557,19,0,0,0,0,19
Xadrez Aleatório,Médio,14.510031319998234,3182,0.020494,AC,0.067430642000545,57,0,0,0,0,57
Bombom,Fácil,19.167524551998213,4338,0.033496,AC,0.0624487759996554,50,0,0,0,0,50
Câmara de Compensação,Difícil,32.07726587400248,6104,0.048388,AC,0.7816354310016322,28,0,0,0,0,28
Taxa,Difícil,76.02608842799964,12158,0.123556,AC,0.932346787001734,36,0,0,0,0,36
Atlanta,Fácil,29.21142379199955,5093,0.043076,AC,0.0625866800000949,40,0,0,0,0,40
Fuga com helicóptero,Fácil,15.14252006300012,3326,0.021482,AC,0.084736074997636,74,0,0,0,0,74
Pirâmide,Fácil,21.769501390001096,3094,0.017778,WA,0.0535034889981034,1,38,0,0,0,39
Wifi,Difícil,311.72868081100023,0,0.0,NO CODE,0.0,0,0,0,0,0,22
Fitas Verde-amarelas,Difícil,81.08262767599808,13968,0.119746,WA,0.9921671769989188,50,10,0,0,0,60
Retângulo,Difícil,133.98301533099948,0,0.0,NO CODE,0.0,0,0,0,0,0,35
Copa do Mundo,Médio,17.767917165001563,4201,0.031052,AC,0.0668331010019755,50,0,0,0,0,50
Passa Bolinha,Difícil,50.94446911900013,7466,0.069372,AC,0.0625724470010027,40,0,0,0,0,40
Transmissão de Energia,Médio,17.96690927599775,4290,0.03086,AC,0.1166257830009271,10,0,0,0,0,10
Quadrado,Médio,29.856430424999417,5082,0.043034,AC,0.0556778959980874,30,0,0,0,0,30
Chocolate,Fácil,24.293726202999096,2911,0.015192,AC,0.0826582270019571,99,0,0,0,0,99
Xadrez,Fácil,10.667705417999969,2556,0.013042,AC,0.052237927000533,26,0,0,0,0,26
Pizza,Médio,22.671114955999656,5152,0.0408139999999999,AC,0.1812837930010573,48,0,0,0,0,48
Construção de Rodovia,Difícil,44.20605539099779,6543,0.058816,WA,0.4598661890013318,6,7,0,0,0,13
Dividindo o império,Médio,17.06635661400287,4150,0.03049,AC,0.2125009619994671,18,0,0,0,0,18
Cinco,Médio,53.99019230500198,7265,0.0662,AC,0.0624558310009888,64,0,0,0,0,64
