question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,4.289294908987358,1020,0.005484,WA,0.5940850009938003,0,33,0,0,0,33
Capitais,Difícil,18.808322217999375,2098,0.022242,RE,0.130421921989182,0,0,38,0,0,38
Chocolate em barra,Fácil,3.094577781012049,1066,0.005418,AC,0.04488081300223712,28,0,0,0,0,28
Fita Colorida,Médio,4.2150016560044605,1076,0.006516,AC,0.0513477890053764,31,0,0,0,0,31
Fila_2015,Difícil,30.728925280011026,3295,0.035889,RE,0.18861128500429913,0,0,30,0,0,30
Quebra-cabeça,Médio,4.253624621997005,963,0.004653,AC,0.4295544990018243,24,0,0,0,0,24
Prêmio do Milhão,Fácil,2.2637070800119545,869,0.003375,AC,0.041324735997477546,20,0,0,0,0,20
Móbile_2015,Fácil,1.862133108996204,648,0.002784,AC,0.060877896001329646,30,0,0,0,0,30
Família real,Médio,7.185729686985724,1448,0.01116,AC,0.04888349899556488,15,0,0,0,0,15
Mina,Médio,4.181099520006683,1118,0.007194000000000001,AC,0.08412610000232235,40,0,0,0,0,40
Cálculo,Médio,6.197968409003806,1495,0.008937,AC,0.05515772900253069,29,0,0,0,0,29
Cobra coral,Fácil,3.7754907319904305,898,0.004842,WA,0.0552489709953079,17,8,0,0,0,25
Letras,Médio,15.844413063008687,1512,0.014627999999999999,RE,0.20426361700810958,0,0,64,0,0,64
Arquivos,Médio,3.8850519550032914,824,0.0044399999999999995,AC,0.18195826999726705,32,0,0,0,0,32
Código,Fácil,2.216286241004127,760,0.003252,AC,0.05300817500392441,28,0,0,0,0,28
