question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,4.418021082004998,1918,0.008886,WA,0.6727186490024906,0,33,0,0,0,33
Capitais,Difícil,25.428279693005607,3060,0.026604000000000003,WA,0.3774730410077609,22,16,0,0,0,38
Chocolate em barra,Fácil,4.022588979001739,1934,0.00837,TLE,15.0,22,0,0,6,0,28
Fita Colorida,Médio,5.006601005006814,2001,0.010323,AC,0.037570420012343675,31,0,0,0,0,31
Fila_2015,Difícil,21.582401889987523,3425,0.027771,CE,0.0,0,0,0,0,30,30
Quebra-cabeça,Médio,4.162924285992631,1867,0.008145,AC,0.6364839489979204,24,0,0,0,0,24
Prêmio do Milhão,Fácil,2.735398372009513,1757,0.006627,AC,0.016802867001388222,20,0,0,0,0,20
Móbile_2015,Fácil,3.7063692189985886,1510,0.005646,AC,0.02790473200730048,30,0,0,0,0,30
Família real,Médio,9.149306829000125,2392,0.015252,AC,0.00788124899554532,15,0,0,0,0,15
Mina,Médio,5.836866117999307,2098,0.011826,AC,0.044117735989857465,40,0,0,0,0,40
Cálculo,Médio,6.526411735001602,2345,0.011619,AC,0.02218482100579422,29,0,0,0,0,29
Cobra coral,Fácil,5.177995923993876,1830,0.008754000000000001,WA,0.03563622699584812,17,8,0,0,0,25
Letras,Médio,8.643002892000368,1940,0.01098,TLE,15.0,57,0,0,7,0,64
Arquivos,Médio,4.342741318992921,1711,0.007677,AC,0.22952131000056397,32,0,0,0,0,32
Código,Fácil,4.477337460994022,1687,0.007089,AC,0.03722518199356273,28,0,0,0,0,28
