question_id,model,understanding_text,plan_text,code_text,judge_correctness,judge_test_cases,total_test_cases,failures
2024f1p2_ogro,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def solve():
    data = sys.stdin.read().strip().split()
    if len(data) < 2:
        return
    E = int(data[0])
    D = int(data[1])
    if E > D:
        result = E + D
    else:
        result = 2 * (D - E)
    print(result)

if __name__ == ""__main__"":
    solve()",True,20,20,[]
2024f1p2_relogio,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def solve():
    data = sys.stdin.read().strip().split()
    if len(data) < 4:
        return
    H, M, S, T = map(int, data[:4])
    total = (H * 3600 + M * 60 + S + T) % (24 * 3600)
    new_H = total // 3600
    total %= 3600
    new_M = total // 60
    new_S = total % 60
    sys.stdout.write(f""{new_H}\n{new_M}\n{new_S}"")

if __name__ == ""__main__"":
    solve()",True,52,52,[]
2024f1p2_jogo,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def solve():
    data = sys.stdin.read().splitlines()
    if not data:
        return
    N_Q = data[0].split()
    N = int(N_Q[0])
    Q = int(N_Q[1])
    grid = [list(map(int, list(line.strip()))) for line in data[1:1+N]]

    dirs = [(-1, -1), (-1, 0), (-1, 1),
            (0, -1),          (0, 1),
            (1, -1),  (1, 0), (1, 1)]

    for _ in range(Q):
        new_grid = [[0]*N for _ in range(N)]
        for i in range(N):
            for j in range(N):
                cnt = 0
                for di, dj in dirs:
                    ni, nj = i + di, j + dj
                    if 0 <= ni < N and 0 <= nj < N:
                        cnt += grid[ni][nj]
                if grid[i][j] == 1:
                    new_grid[i][j] = 1 if cnt == 2 or cnt == 3 else 0
                else:
                    new_grid[i][j] = 1 if cnt == 3 else 0
        grid = new_grid

    out = '\n'.join(''.join(str(cell) for cell in row) for row in grid)
    sys.stdout.write(out)

if __name__ == ""__main__"":
    solve()",True,19,19,[]
2024f2p2_cubo,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def solve():
    data = sys.stdin.read().strip().split()
    if not data:
        return
    N = int(data[0])
    if N < 2:
        # Not expected per constraints, but handle gracefully
        zero = one = two = three = 0
    else:
        inner = N - 2
        zero = inner ** 3
        one = 6 * inner * inner
        two = 12 * inner
        three = 8
    out = ""\n"".join(map(str, (zero, one, two, three)))
    sys.stdout.write(out)

if __name__ == ""__main__"":
    solve()",True,11,11,[]
2024f2p2_alfabeto,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def main():
    data = sys.stdin.read().splitlines()
    if not data:
        return
    k_n = data[0].strip().split()
    if len(k_n) < 2:
        return
    K, N = map(int, k_n)
    alphabet = set(data[1].rstrip('\n')) if len(data) > 1 else set()
    message = data[2].rstrip('\n') if len(data) > 2 else ''
    result = 'S' if all(ch in alphabet for ch in message) else 'N'
    sys.stdout.write(result)

if __name__ == ""__main__"":
    main()",True,61,61,[]
2024f2p2_concatena,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def solve() -> None:
    data = list(map(int, sys.stdin.buffer.read().split()))
    if not data:
        return
    it = iter(data)
    N = next(it)
    Q = next(it)
    digits = [0] * (N + 1)
    for i in range(1, N + 1):
        digits[i] = next(it)
    pref = [0] * (N + 1)
    for i in range(1, N + 1):
        pref[i] = pref[i - 1] + digits[i]
    out_lines = []
    for _ in range(Q):
        L = next(it)
        R = next(it)
        length_minus_one = R - L
        total = pref[R] - pref[L - 1]
        out_lines.append(str(11 * length_minus_one * total))
    sys.stdout.write(""\n"".join(out_lines))

if __name__ == ""__main__"":
    solve()",True,25,25,[]
2024f2p2_poder,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys, heapq

def solve():
    data = sys.stdin.read().strip().split()
    if not data:
        return
    it = iter(data)
    N = int(next(it))
    M = int(next(it))
    total = N * M
    P = [0] * total
    for i in range(total):
        P[i] = int(next(it))
    # adjacency offsets
    dirs = [(-1, 0), (1, 0), (0, -1), (0, 1)]
    # map 2D to 1D
    def idx(r, c):
        return r * M + c

    results = [0] * total
    for r in range(N):
        for c in range(M):
            start = idx(r, c)
            power = P[start]
            visited = [False] * total
            visited[start] = True
            heap = []
            # push neighbors
            for dr, dc in dirs:
                nr, nc = r + dr, c + dc
                if 0 <= nr < N and 0 <= nc < M:
                    nid = idx(nr, nc)
                    heapq.heappush(heap, (P[nid], nr, nc, nid))
            while heap and heap[0][0] <= power:
                w, nr, nc, nid = heapq.heappop(heap)
                if visited[nid]:
                    continue
                visited[nid] = True
                power += w
                for dr, dc in dirs:
                    tr, tc = nr + dr, nc + dc
                    if 0 <= tr < N and 0 <= tc < M:
                        tid = idx(tr, tc)
                        if not visited[tid]:
                            heapq.heappush(heap, (P[tid], tr, tc, tid))
            results[start] = power

    out_lines = []
    for r in range(N):
        line = ' '.join(str(results[idx(r, c)]) for c in range(M))
        out_lines.append(line)
    sys.stdout.write('\n'.join(out_lines))

if __name__ == ""__main__"":
    solve()",False,72,150,"[""0000000000 900000000000 900000000000 900000000000' got: '' retcode: 124 stderr: Execution timed out."", ""30 9309386 9309386 9309386 30 9309386 960 960 960' got: '' retcode: 124 stderr: Execution timed out."", ""5318 62016531 445764073991 596761510 445764073991' got: '' retcode: 124 stderr: Execution timed out."", ""0 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30' got: '' retcode: 124 stderr: Execution timed out."", ""5500 85885500 85885500 85885500 85885500 85885500' got: '' retcode: 124 stderr: Execution timed out."", ""91950 30 1101660 930 930 1101660 930 930 33300 30' got: '' retcode: 124 stderr: Execution timed out."", ""1452 30591452 30591452 30591452 30591452 30591452' got: '' retcode: 124 stderr: Execution timed out."", ""0 1733520 1733520 1733520 1733520 1733520 1733520' got: '' retcode: 124 stderr: Execution timed out."", ""112725300 112725300 112725300 112725300 112725300' got: '' retcode: 124 stderr: Execution timed out."", ""8766 28388766 28388766 28388766 28388766 28388766' got: '' retcode: 124 stderr: Execution timed out."", ""6470 87586470 87586470 87586470 87586470 87586470' got: '' retcode: 124 stderr: Execution timed out."", ""0866 18218001920866 18218001920866 18218001920866' got: '' retcode: 124 stderr: Execution timed out."", ""10 4289296 2 2 4289296 8 8 8 8 8 24 2 2 81 5 26 5' got: '' retcode: 124 stderr: Execution timed out."", ""3 273 273 273 273 273 273 273 273 273 273 273 273' got: '' retcode: 124 stderr: Execution timed out."", ""155316277 51007155316277 51007155316277 641613380' got: '' retcode: 124 stderr: Execution timed out."", ""0437056 2206760437056 2206760437056 2206760437056' got: '' retcode: 124 stderr: Execution timed out."", ""3 513 513 513 513 513 513 513 513 513 513 513 513' got: '' retcode: 124 stderr: Execution timed out."", ""0 85800 85800 85800 85800 85800 85800 85800 85800' got: '' retcode: 124 stderr: Execution timed out."", "" 234 1366274 33917 45 881579599 156 79677 1833 39' got: '' retcode: 124 stderr: Execution timed out."", ""2475773 3906962475773 3906962475773 3906962475773' got: '' retcode: 124 stderr: Execution timed out."", ""3 19 921 18 18 637193 26 986 26 2 986 20 20 20 20' got: '' retcode: 124 stderr: Execution timed out."", "" 17151508\\n25000 25002440188846 17151508 17151508' got: '' retcode: 124 stderr: Execution timed out."", ""35347662500 34435347662500 34435347662500 2775000' got: '' retcode: 124 stderr: Execution timed out."", ""0 2418750 2418750 2418750 2418750 2418750 2418750' got: '' retcode: 124 stderr: Execution timed out."", ""7238 83925213693436 83925213693436 83925213693436' got: '' retcode: 124 stderr: Execution timed out."", "" 102857 102857 102857 102857 102857 102857 102857' got: '' retcode: 124 stderr: Execution timed out."", ""9\\n94998429057199\\n94998429057199\\n94998429057199' got: '' retcode: 124 stderr: Execution timed out."", ""9688 34609688 34609688 34609688 34609688 34609688' got: '' retcode: 124 stderr: Execution timed out."", ""6772645 1256996772645 1256996772645 1256996772645' got: '' retcode: 124 stderr: Execution timed out."", ""50610 1550610 8 8 1550610 1550610 1550610 1550610' got: '' retcode: 124 stderr: Execution timed out."", ""325000 62500\\n3124 25005751476610 781325000 62500' got: '' retcode: 124 stderr: Execution timed out."", "" 12 12 12 12 178615369 8 8 8 8 4461 8 398 398 398' got: '' retcode: 124 stderr: Execution timed out."", ""26594661496 88 102168 102168 102168 102168 102168' got: '' retcode: 124 stderr: Execution timed out."", ""8 29388 29388 29388 29388 29388 29388 29388 29388' got: '' retcode: 124 stderr: Execution timed out."", "" 418756 418756 418756 418756 418756 418756 418756' got: '' retcode: 124 stderr: Execution timed out."", ""7503\\n187503 187503\\n187503 187503\\n187503 187503' got: '' retcode: 124 stderr: Execution timed out."", ""7228 13343799837228 13343799837228 13343799837228' got: '' retcode: 124 stderr: Execution timed out."", ""884488138 84027884488138 725180479 84027884488138' got: '' retcode: 124 stderr: Execution timed out."", ""0300 27180300 27180300 27180300 27180300 27180300' got: '' retcode: 124 stderr: Execution timed out."", ""4753768 3615974753768 3615974753768 3615974753768' got: '' retcode: 124 stderr: Execution timed out."", ""000 100050000 10000 7002700250000 100040000 10000' got: '' retcode: 124 stderr: Execution timed out."", ""765766317 49905834152941 49905834152941 183558185' got: '' retcode: 124 stderr: Execution timed out."", ""42191 1680042191 1680042191 1680042191 1680042191' got: '' retcode: 124 stderr: Execution timed out."", ""0 250 250 250 250 250 250 250 250 250 250 250 250' got: '' retcode: 124 stderr: Execution timed out."", ""74173220942 69 6174173220942 69 45678 45678 45678' got: '' retcode: 124 stderr: Execution timed out."", "" 100000000000000\\n100000000000000 100000000000000' got: '' retcode: 124 stderr: Execution timed out."", ""1200 14306496811200 14306496811200 14306496811200' got: '' retcode: 124 stderr: Execution timed out."", ""18457908080 12018457908080 5882 43403278 43403278' got: '' retcode: 124 stderr: Execution timed out."", ""4 1545 90 9067391356069 1485 90 55275 15 1965 105' got: '' retcode: 124 stderr: Execution timed out."", ""45631430122 600 101500 400 19443000 300 91000 600' got: '' retcode: 124 stderr: Execution timed out."", ""80959 43633021180959 504252 43633021180959 849114' got: '' retcode: 124 stderr: Execution timed out."", ""643643000 643643000 643643000 643643000 643643000' got: '' retcode: 124 stderr: Execution timed out."", ""650\\n45821974339650 45821974339650 45821974339650' got: '' retcode: 124 stderr: Execution timed out."", ""0 4497936 310 310 4497936 4497936 4497936 4497936' got: '' retcode: 124 stderr: Execution timed out."", ""1 426 18 1 18 95 1 28 28 28 28 1 61940 1 5 5 5 19' got: '' retcode: 124 stderr: Execution timed out."", ""547992 20 1547992 15 1547992 2 1547992 1001547992' got: '' retcode: 124 stderr: Execution timed out."", ""38 40273 439 40273 40273 319 40273 1077 369 1 153' got: '' retcode: 124 stderr: Execution timed out."", ""882064 4972 4972 60 60 4972 62 392 4972 4972 4972' got: '' retcode: 124 stderr: Execution timed out."", ""54227 2 1554227 1554227 1554227 4 1554227 1554227' got: '' retcode: 124 stderr: Execution timed out."", ""2968 1118 204883 10325 4337 72985 8029 23796 2334' got: '' retcode: 124 stderr: Execution timed out."", ""0 6245000 6245000 6245000 6245000 6245000 6245000' got: '' retcode: 124 stderr: Execution timed out."", ""5317 160659856 488023785 49990308550860 497888579' got: '' retcode: 124 stderr: Execution timed out."", ""1453 23519 746 4672 4672 246772 5127 757 5127 411' got: '' retcode: 124 stderr: Execution timed out."", ""748600383 84007748600383 84007748600383 716050375' got: '' retcode: 124 stderr: Execution timed out."", ""014 86014 86014 86014 1274 1274 86014 208 208 208' got: '' retcode: 124 stderr: Execution timed out."", ""7148937 7107148937 784 784 784 7107148937 570 570' got: '' retcode: 124 stderr: Execution timed out."", "" 4660 4660 577448 813 577448 577448 8181 1501 295' got: '' retcode: 124 stderr: Execution timed out."", ""1515 144793046 144793046 1121 144793046 144793046' got: '' retcode: 124 stderr: Execution timed out."", ""6386675 33346386675 33346386675 2624 486 486 2624' got: '' retcode: 124 stderr: Execution timed out."", "" 966545 3 966545 966545 3 966545 966545 966545 12' got: '' retcode: 124 stderr: Execution timed out."", ""54975 353191940 49963385254975 234456972 13614395' got: '' retcode: 124 stderr: Execution timed out."", "" 720 6376 2443 1197 576 282053 11 106 1559707 295' got: '' retcode: 124 stderr: Execution timed out."", ""2 11 1546482 1546482 1546482 10 4 1546482 1546482' got: '' retcode: 124 stderr: Execution timed out."", "" 7132867296 7132867296 7132867296 776 178 178 776' got: '' retcode: 124 stderr: Execution timed out."", ""5940 105433 732 732 7904 7904 7904 7904 7904 7904' got: '' retcode: 124 stderr: Execution timed out."", ""0 100000000000000 100000000000000 100000000000000' got: '' retcode: 124 stderr: Execution timed out."", ""569 2569 22211 422 422 2765 969 8472 1023 506 506' got: '' retcode: 124 stderr: Execution timed out."", ""19095 152 7819095 135 7819095 116 7819095 7819095' got: '' retcode: 124 stderr: Execution timed out.""]"
2024f3p2_brigadeiros,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def solve() -> None:
    data = sys.stdin.read().strip().split()
    if not data:
        return
    it = iter(data)
    N = int(next(it))
    K = int(next(it))
    T = int(next(it))
    P = [int(next(it)) for _ in range(N)]
    G = [int(next(it)) for _ in range(N)]

    # positions of group members (1-indexed)
    A = [i + 1 for i, g in enumerate(G) if g == 1]
    A.sort()

    max_possible_cost = K * (N - 1)
    if T >= max_possible_cost:
        # unlimited swaps: take K largest plates
        ans = sum(sorted(P, reverse=True)[:K])
        print(ans)
        return

    max_sum = 9 * K
    INF = 10 ** 9
    dp = [[INF] * (max_sum + 1) for _ in range(K + 1)]
    dp[0][0] = 0

    for idx in range(1, N + 1):
        pi = P[idx - 1]
        limit_j = min(idx, K)
        for j in range(limit_j, 0, -1):
            cost_move = abs(A[j - 1] - idx)
            prev = dp[j - 1]
            cur = dp[j]
            max_s_prev = 9 * (j - 1)
            # iterate over reachable sums for j-1 tokens
            for s in range(max_s_prev, -1, -1):
                c = prev[s]
                if c != INF:
                    ns = s + pi
                    nc = c + cost_move
                    if nc < cur[ns]:
                        cur[ns] = nc

    best = 0
    for s in range(max_sum, -1, -1):
        if dp[K][s] <= T:
            best = s
            break
    print(best)

if __name__ == ""__main__"":
    solve()",False,61,67,"[""Case 18: expected: '1157' got: '' retcode: 124 stderr: Execution timed out."", ""Case 20: expected: '1354' got: '' retcode: 124 stderr: Execution timed out."", ""Case 21: expected: '1505' got: '' retcode: 124 stderr: Execution timed out."", ""Case 23: expected: '1611' got: '' retcode: 124 stderr: Execution timed out."", ""Case 29: expected: '2228' got: '' retcode: 124 stderr: Execution timed out."", ""Case 32: expected: '2007' got: '' retcode: 124 stderr: Execution timed out.""]"
2024f3p2_construtora,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def solve():
    data = sys.stdin.read().strip().split()
    if not data:
        return
    it = iter(data)
    n = int(next(it))
    a = [int(next(it)) for _ in range(n)]
    max_h = max(a)
    min_h = min(a)
    ans = 0
    for h in range(min_h, max_h):
        i = 0
        groups = 0
        while i < n:
            if a[i] <= h:
                groups += 1
                while i < n and a[i] <= h:
                    i += 1
            else:
                i += 1
        ans += groups
    print(ans)

if __name__ == ""__main__"":
    solve()",True,38,38,[]
2024f3p2_retas,openai/gpt-oss-120b,N/A (Zero-shot),N/A (Zero-shot),"import sys

def solve() -> None:
    data = sys.stdin.read().strip().split()
    if not data:
        return
    it = iter(data)
    N = int(next(it))
    X1 = int(next(it))
    X2 = int(next(it))
    lines = []
    y2_vals = []
    for _ in range(N):
        A = int(next(it))
        B = int(next(it))
        y1 = A * X1 + B
        y2 = A * X2 + B
        lines.append((y1, y2))
        y2_vals.append(y2)

    # coordinate compression for y2
    uniq = sorted(set(y2_vals))
    comp = {v: i + 1 for i, v in enumerate(uniq)}
    M = len(uniq)

    class BIT:
        __slots__ = (""n"", ""bit"")
        def __init__(self, n):
            self.n = n
            self.bit = [0] * (n + 1)
        def add(self, i, delta):
            while i <= self.n:
                self.bit[i] += delta
                i += i & -i
        def prefix(self, i):
            s = 0
            while i:
                s += self.bit[i]
                i -= i & -i
            return s

    bit = BIT(M)
    lines.sort(key=lambda x: x[0])  # sort by y1

    ans = 0
    added = 0
    i = 0
    while i < N:
        j = i
        while j < N and lines[j][0] == lines[i][0]:
            j += 1
        # queries for current group
        for k in range(i, j):
            y2 = lines[k][1]
            idx = comp[y2]
            cnt = added - bit.prefix(idx - 1)  # previous with y2 >= current y2
            ans += cnt
        # intra-group pairs (intersection at X1)
        sz = j - i
        ans += sz * (sz - 1) // 2
        # add current group to BIT
        for k in range(i, j):
            y2 = lines[k][1]
            idx = comp[y2]
            bit.add(idx, 1)
            added += 1
        i = j

    print(ans)

if __name__ == ""__main__"":
    solve()",False,35,43,"[""Case 2: expected: '78' got: '' retcode: 124 stderr: Execution timed out."", ""Case 4: expected: '1109228551' got: '' retcode: 124 stderr: Execution timed out."", ""Case 11: expected: '53628' got: '' retcode: 124 stderr: Execution timed out."", ""Case 12: expected: '0' got: '' retcode: 124 stderr: Execution timed out."", ""Case 13: expected: '1' got: '' retcode: 124 stderr: Execution timed out."", ""Case 14: expected: '3992296' got: '' retcode: 124 stderr: Execution timed out."", ""Case 16: expected: '416644249' got: '' retcode: 124 stderr: Execution timed out."", ""Case 28: expected: '52174' got: '' retcode: 124 stderr: Execution timed out.""]"
