question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,68.03537791800045,7042,0.0,AC,2.0283167410088936,33,0,0,0,0,33
Capitais,Difícil,315.5963386600052,34098,0.0,AC,0.2371800910041201,38,0,0,0,0,38
Chocolate em barra,Fácil,17.046975828998256,2018,0.0,AC,0.0090748410002561,28,0,0,0,0,28
Fita Colorida,Médio,23.52042490900203,3515,0.0,AC,0.0275914119993103,31,0,0,0,0,31
Fila_2015,Difícil,154.11706833301287,17432,0.0,AC,7.817301221992238,30,0,0,0,0,30
Quebra-cabeça,Médio,50.20543527499831,5737,0.0,AC,0.1008578379987739,24,0,0,0,0,24
Prêmio do Milhão,Fácil,9.114975283999229,1109,0.0,AC,0.0106391430017538,20,0,0,0,0,20
Móbile_2015,Fácil,16.100426542994683,1514,0.0,AC,0.0115417130000423,30,0,0,0,0,30
Família real,Médio,52.76113161000831,7913,0.0,AC,0.0069051989994477,15,0,0,0,0,15
Mina,Médio,15.102002373998403,2306,0.0,TLE,15.0,39,0,0,1,0,40
Cálculo,Médio,89.73505625699181,12604,0.0,AC,0.006994175011641346,29,0,0,0,0,29
Cobra coral,Fácil,154.91986496500613,16291,0.0,AC,0.011157351997098885,25,0,0,0,0,25
Letras,Médio,24.34823798800062,3012,0.0,AC,0.10444623499643058,64,0,0,0,0,64
Arquivos,Médio,54.777875048006536,6050,0.0,AC,0.0957059000065783,32,0,0,0,0,32
Código,Fácil,12.014458333011135,1326,0.0,AC,0.023465186008252203,28,0,0,0,0,28
