question_name,llm_code_creation_time,info,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Relógio,24.75851991699892,database/obi_2024/nível 2/fase 1/,AC,0.058760073996381834,52,0,0,0,0,52
Concurso,25.71315769100329,database/obi_2024/nível 2/fase 1/,AC,0.03297185100382194,20,0,0,0,0,20
Jogo da vida,29.467137764004292,database/obi_2024/nível 2/fase 1/,AC,0.17506195700843818,19,0,0,0,0,19
Ogro,23.458499331987696,database/obi_2024/nível 2/fase 1/,AC,0.05016471797716804,20,0,0,0,0,20
Construtora,48.634280607977416,database/obi_2024/nível 2/fase 3/,AC,0.04734288598410785,38,0,0,0,0,38
Retas,91.6547047230124,database/obi_2024/nível 2/fase 3/,AC,1.4705780849908479,43,0,0,0,0,43
Burocracia,553.7354198240209,database/obi_2024/nível 2/fase 3/,NO CODE,0.0,0,0,0,0,0,53
Brigadeiros,325.1512074340135,database/obi_2024/nível 2/fase 3/,AC,4.433175341022434,67,0,0,0,0,67
Jogo de Pratos,551.1925452119904,database/obi_2024/nível 2/fase 3/,NO CODE,0.0,0,0,0,0,0,73
Jogo do Poder,550.2026977009955,database/obi_2024/nível 2/fase 2/,NO CODE,0.0,0,0,0,0,0,150
Alfabeto Alienígena,20.824435245012864,database/obi_2024/nível 2/fase 2/,AC,0.09941322900704108,61,0,0,0,0,61
Concatena Dígitos,18.976120970997727,database/obi_2024/nível 2/fase 2/,AC,0.17324115600786172,25,0,0,0,0,25
Cubo Preto,9.751342451985693,database/obi_2024/nível 2/fase 2/,AC,0.03384383500088006,11,0,0,0,0,11
