question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,5.7170163429982495,972,0.00181404,AC,0.6809753550041933,33,0,0,0,0,33
Capitais,Difícil,8.646280732005835,1119,0.00323388,TLE,15.0,34,0,0,4,0,38
Chocolate em barra,Fácil,12.086138909013243,1236,0.00352836,AC,0.08284914901014417,28,0,0,0,0,28
Fita Colorida,Médio,1.6203455520153511,828,0.00102924,AC,0.09207351598888636,31,0,0,0,0,31
Fila_2015,Difícil,40.214297819009516,7641,0.05016366,RE,15.0,2,0,21,7,0,30
Quebra-cabeça,Médio,17.11134292697534,1360,0.004805220000000001,AC,0.6288668990018778,24,0,0,0,0,24
Prêmio do Milhão,Fácil,1.3775312000070699,812,0.00064356,AC,0.040938944002846256,20,0,0,0,0,20
Móbile_2015,Fácil,2.2482818360149395,575,0.00045275999999999997,AC,0.08944129399606027,30,0,0,0,0,30
Família real,Médio,10.345029944000999,1287,0.0034164000000000004,RE,0.10708683400298469,0,0,15,0,0,15
Mina,Médio,5.178979776013875,1194,0.00370782,AC,0.07458748301723972,40,0,0,0,0,40
Cálculo,Médio,7.532656877010595,1956,0.00729738,AC,0.09279809400322847,29,0,0,0,0,29
